Date,VALE3 BS Equity,PETR4 BS Equity,ITUB4 BS Equity,PETR3 BS Equity,BBDC4 BS Equity,ELET3 BS Equity,B3SA3 BS Equity,BBAS3 BS Equity,ABEV3 BS Equity,WEGE3 BS Equity,RENT3 BS Equity,ITSA4 BS Equity,PRIO3 BS Equity,SUZB3 BS Equity,BPAC11 BS Equity,EQTL3 BS Equity,RADL3 BS Equity,RDOR3 BS Equity,RAIL3 BS Equity,GGBR4 BS Equity,VBBR3 BS Equity,BBSE3 BS Equity,SBSP3 BS Equity,JBSS3 BS Equity,UGPA3 BS Equity,HAPV3 BS Equity,CSAN3 BS Equity,ENEV3 BS Equity,BBDC3 BS Equity,VIVT3 BS Equity,CMIG4 BS Equity,BRFS3 BS Equity,KLBN11 BS Equity,ASAI3 BS Equity,HYPE3 BS Equity,CPLE6 BS Equity,TOTS3 BS Equity,ENGI11 BS Equity,CCRO3 BS Equity,LREN3 BS Equity,EMBR3 BS Equity,NTCO3 BS Equity,ALSO3 BS Equity,TIMS3 BS Equity,ELET6 BS Equity,EGIE3 BS Equity,SANB11 BS Equity,TAEE11 BS Equity,RRRP3 BS Equity,GOAU4 BS Equity,CSNA3 BS Equity,MULT3 BS Equity,CPFE3 BS Equity,MGLU3 BS Equity,RECV3 BS Equity,YDUQ3 BS Equity,BRAP4 BS Equity,SMTO3 BS Equity,BRKM5 BS Equity,CYRE3 BS Equity,CMIN3 BS Equity,FLRY3 BS Equity,COGN3 BS Equity,AZUL4 BS Equity,CRFB3 BS Equity,IGTI11 BS Equity,RAIZ4 BS Equity,VAMO3 BS Equity,ARZZ3 BS Equity,MRVE3 BS Equity,SLCE3 BS Equity,CIEL3 BS Equity,IRBR3 BS Equity,USIM5 BS Equity,SOMA3 BS Equity,LWSA3 BS Equity,DXCO3 BS Equity,BEEF3 BS Equity,MRFG3 BS Equity,EZTC3 BS Equity,ALPA4 BS Equity,PETZ3 BS Equity,GOLL4 BS Equity,CVCB3 BS Equity,BHIA3 BS Equity,PCAR3 BS Equity
03-01-2005,18.713,11.775,5.571,12.813,3.214,18.388,#N/A N/A,11,2.6,1.058,#N/A N/A,1.624,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.064,#N/A N/A,#N/A N/A,9.81,#N/A N/A,#N/A N/A,6.229,#N/A N/A,5.758,#N/A N/A,#N/A N/A,#N/A N/A,2.727,43.43,5.234,9.683,#N/A N/A,#N/A N/A,#N/A N/A,1.143,#N/A N/A,#N/A N/A,3.729,#N/A N/A,15.9,7.848,#N/A N/A,3.737,18.596,7.368,#N/A N/A,#N/A N/A,#N/A N/A,14.521,8.117,#N/A N/A,8.442,#N/A N/A,#N/A N/A,#N/A N/A,4.325,#N/A N/A,32.875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.318,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.067,#N/A N/A,42.5,#N/A N/A,#N/A N/A,#N/A N/A
04-01-2005,17.95,11.635,5.502,12.783,3.104,17.548,#N/A N/A,10.733,2.559,1.065,#N/A N/A,1.624,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.064,#N/A N/A,#N/A N/A,9.443,#N/A N/A,#N/A N/A,6.208,#N/A N/A,5.707,#N/A N/A,#N/A N/A,#N/A N/A,2.63,44.21,5.13,9.667,#N/A N/A,#N/A N/A,#N/A N/A,1.069,#N/A N/A,#N/A N/A,3.688,#N/A N/A,15.5,7.299,#N/A N/A,3.588,17.752,7.216,#N/A N/A,#N/A N/A,#N/A N/A,14.323,7.8,#N/A N/A,8.508,#N/A N/A,#N/A N/A,#N/A N/A,4.145,#N/A N/A,30.97,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.861,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.046,#N/A N/A,40,#N/A N/A,#N/A N/A,#N/A N/A
05-01-2005,17.825,11.59,5.448,12.7,3.029,16.989,#N/A N/A,10.567,2.547,1.072,#N/A N/A,1.603,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.064,#N/A N/A,#N/A N/A,9.31,#N/A N/A,#N/A N/A,6.354,#N/A N/A,5.674,#N/A N/A,#N/A N/A,#N/A N/A,2.533,43.8,5.005,9.7,#N/A N/A,#N/A N/A,#N/A N/A,1.064,#N/A N/A,#N/A N/A,3.564,#N/A N/A,14.88,7.324,#N/A N/A,3.529,17.223,7.088,#N/A N/A,#N/A N/A,#N/A N/A,14.081,7.683,#N/A N/A,8.555,#N/A N/A,#N/A N/A,#N/A N/A,4.222,#N/A N/A,30.925,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.881,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.022,#N/A N/A,40.02,#N/A N/A,#N/A N/A,#N/A N/A
06-01-2005,17.75,11.625,5.379,12.825,2.947,16.494,#N/A N/A,10.433,2.546,1.08,#N/A N/A,1.589,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.064,#N/A N/A,#N/A N/A,9.153,#N/A N/A,#N/A N/A,6.229,#N/A N/A,5.543,#N/A N/A,#N/A N/A,#N/A N/A,2.46,43.4,4.841,9.583,#N/A N/A,#N/A N/A,#N/A N/A,1.051,#N/A N/A,#N/A N/A,3.572,#N/A N/A,14.8,7.428,#N/A N/A,3.419,16.839,6.8,#N/A N/A,#N/A N/A,#N/A N/A,13.692,7.617,#N/A N/A,8.957,#N/A N/A,#N/A N/A,#N/A N/A,4.191,#N/A N/A,30.075,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.988,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.022,#N/A N/A,39.3,#N/A N/A,#N/A N/A,#N/A N/A
07-01-2005,18.225,11.676,5.373,12.881,2.967,17.044,#N/A N/A,10.333,2.529,1.092,#N/A N/A,1.593,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.064,#N/A N/A,#N/A N/A,9.291,#N/A N/A,#N/A N/A,6.254,#N/A N/A,5.511,#N/A N/A,#N/A N/A,#N/A N/A,2.513,44,5.047,9.567,#N/A N/A,#N/A N/A,#N/A N/A,1.06,#N/A N/A,#N/A N/A,3.684,#N/A N/A,14.78,7.299,#N/A N/A,3.459,17.378,6.848,#N/A N/A,#N/A N/A,#N/A N/A,13.754,7.732,#N/A N/A,9.08,#N/A N/A,#N/A N/A,#N/A N/A,4.35,#N/A N/A,30.325,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.553,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.031,#N/A N/A,39.5,#N/A N/A,#N/A N/A,#N/A N/A
10-01-2005,18.075,11.525,5.407,12.838,2.995,16.749,#N/A N/A,10.067,2.495,1.084,#N/A N/A,1.561,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.064,#N/A N/A,#N/A N/A,9.206,#N/A N/A,#N/A N/A,6.063,#N/A N/A,5.424,#N/A N/A,#N/A N/A,#N/A N/A,2.484,42.01,4.932,9.567,#N/A N/A,#N/A N/A,#N/A N/A,1.05,#N/A N/A,#N/A N/A,3.513,#N/A N/A,14.65,7.149,#N/A N/A,3.439,17.178,6.536,#N/A N/A,#N/A N/A,#N/A N/A,13.531,7.85,#N/A N/A,9.004,#N/A N/A,#N/A N/A,#N/A N/A,4.335,#N/A N/A,29.25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.575,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.022,#N/A N/A,38.15,#N/A N/A,#N/A N/A,#N/A N/A
11-01-2005,17.975,11.65,5.334,12.919,2.952,17.129,#N/A N/A,10.1,2.464,1.087,#N/A N/A,1.568,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.064,#N/A N/A,#N/A N/A,9.147,#N/A N/A,#N/A N/A,6.229,#N/A N/A,5.382,#N/A N/A,#N/A N/A,#N/A N/A,2.469,41.11,4.849,9.6,#N/A N/A,#N/A N/A,#N/A N/A,1.066,#N/A N/A,#N/A N/A,3.5,#N/A N/A,14.63,6.899,#N/A N/A,3.469,16.734,6.84,#N/A N/A,#N/A N/A,#N/A N/A,13.382,7.975,#N/A N/A,8.886,#N/A N/A,#N/A N/A,#N/A N/A,4.235,#N/A N/A,29.775,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.77,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.019,#N/A N/A,38.29,#N/A N/A,#N/A N/A,#N/A N/A
12-01-2005,17.87,11.588,5.257,12.885,2.869,17.089,#N/A N/A,10.167,2.471,1.096,#N/A N/A,1.551,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.064,#N/A N/A,#N/A N/A,9.039,#N/A N/A,#N/A N/A,6.216,#N/A N/A,5.489,#N/A N/A,#N/A N/A,#N/A N/A,2.411,42.99,4.767,9.612,#N/A N/A,#N/A N/A,#N/A N/A,1.07,#N/A N/A,#N/A N/A,3.531,#N/A N/A,14.88,6.899,#N/A N/A,3.479,16.784,6.856,#N/A N/A,#N/A N/A,#N/A N/A,13.639,8.083,#N/A N/A,8.744,#N/A N/A,#N/A N/A,#N/A N/A,4.319,#N/A N/A,30.57,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.056,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.052,#N/A N/A,37.31,#N/A N/A,#N/A N/A,#N/A N/A
13-01-2005,18.748,11.701,5.407,13.088,2.932,16.959,#N/A N/A,10.153,2.457,1.139,#N/A N/A,1.575,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.064,#N/A N/A,#N/A N/A,9.289,#N/A N/A,#N/A N/A,6.292,#N/A N/A,5.628,#N/A N/A,#N/A N/A,#N/A N/A,2.421,43,4.799,9.533,#N/A N/A,#N/A N/A,#N/A N/A,1.105,#N/A N/A,#N/A N/A,3.531,#N/A N/A,14.8,6.904,#N/A N/A,3.38,16.739,6.56,#N/A N/A,#N/A N/A,#N/A N/A,13.949,8.417,#N/A N/A,8.782,#N/A N/A,#N/A N/A,#N/A N/A,4.427,#N/A N/A,30.625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.052,#N/A N/A,40,#N/A N/A,#N/A N/A,#N/A N/A
14-01-2005,19.625,11.763,5.434,13.153,2.918,16.764,#N/A N/A,10.333,2.512,1.133,#N/A N/A,1.561,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.064,#N/A N/A,#N/A N/A,9.524,#N/A N/A,#N/A N/A,6.25,#N/A N/A,5.652,#N/A N/A,#N/A N/A,#N/A N/A,2.387,41.3,4.841,9.3,#N/A N/A,#N/A N/A,#N/A N/A,1.122,#N/A N/A,#N/A N/A,3.556,#N/A N/A,15,6.899,#N/A N/A,3.26,16.154,6.744,#N/A N/A,#N/A N/A,#N/A N/A,13.971,8.717,#N/A N/A,8.877,#N/A N/A,#N/A N/A,#N/A N/A,4.601,#N/A N/A,30.7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.864,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.052,#N/A N/A,39.06,#N/A N/A,#N/A N/A,#N/A N/A
