Date,OR FP Equity,DG FP Equity,STLAP FP Equity,TTE FP Equity,AI FP Equity,DSY FP Equity,CS FP Equity,ERF FP Equity,BNP FP Equity,BN FP Equity,CAP FP Equity,CA FP Equity,SGO FP Equity,EL FP Equity,MC FP Equity,ML FP Equity,EDEN FP Equity,KER FP Equity,PUB FP Equity,RNO FP Equity,SAF FP Equity,HO FP Equity,TEP FP Equity,RMS FP Equity,ENGI FP Equity,ORA FP Equity,MT NA Equity,EN FP Equity,ALO FP Equity,VIE FP Equity,SAN FP Equity,GLE FP Equity,SU FP Equity,AIR FP Equity,LR FP Equity,URW FP Equity,ACA FP Equity,RI FP Equity,STMPA FP Equity,WLN FP Equity
03-01-2005,56.45,24.5941,#N/A N/A,39.6242,31.9808,3.733,17.6352,1.724,51.7858,32.5546,24.09,30.8897,41.1731,28.575,51.01,11.6046,#N/A N/A,67.85,24.03,62.6,15.8,35.5,18.08,49.167,#N/A N/A,24.4582,61.4459,34.43,10.9416,25.4079,58.9786,65.8326,25.6879,21.56,#N/A N/A,#N/A N/A,20.2908,43.6135,14.3,#N/A N/A
04-01-2005,56.9,24.8395,#N/A N/A,39.4762,31.9808,3.758,17.5489,1.76,52.1233,32.7433,23.85,31.1168,41.8454,27.95,50.74,11.665,#N/A N/A,67.89,24,64.2,15.86,35.42,18.13,48.833,#N/A N/A,24.508,60.0334,34.69,10.9416,24.9244,58.7797,66.5817,26.1828,21.16,#N/A N/A,#N/A N/A,20.2454,43.7291,14.22,#N/A N/A
05-01-2005,56.95,24.7414,#N/A N/A,39.1061,31.6294,3.74,17.3189,1.75,51.834,32.5074,23.82,30.9247,41.1004,27.35,49.97,11.3171,#N/A N/A,67.07,24.18,63.8,15.71,35.3,18.23,48.3,#N/A N/A,24.2888,57.3849,34.35,10.5707,24.9528,57.9343,65.9208,26.1086,20.98,#N/A N/A,#N/A N/A,20.3635,43.9988,14.02,#N/A N/A
06-01-2005,57.3,25.085,#N/A N/A,39.4022,31.7231,3.737,17.4435,1.827,52.6055,32.6725,23.67,31.2129,41.3094,27.175,50.15,11.5321,#N/A N/A,67.39,24.3,64.5,15.54,35.72,18.83,48.367,#N/A N/A,24.6774,56.8993,35.24,10.9416,25.2183,57.3375,67.1546,26.5293,21.6,#N/A N/A,#N/A N/A,20.5178,43.8447,13.97,#N/A N/A
07-01-2005,57.85,25.2077,#N/A N/A,39.5255,31.9339,3.72,17.5681,1.8,53.2323,32.9556,23.38,31.6672,41.2458,27.025,50.51,11.3558,#N/A N/A,68.08,24.15,65.05,15.29,35.13,19.4,47.933,#N/A N/A,24.7869,58.047,30.18,11.1271,25.1804,57.5365,68.6968,26.9747,21.92,#N/A N/A,#N/A N/A,20.6994,43.9988,14.03,#N/A N/A
10-01-2005,57.6,25.0114,#N/A N/A,39.5996,31.7699,3.861,17.9994,1.799,53.3287,33.05,24.92,32.235,40.9641,26.825,50.2,11.2688,#N/A N/A,67.94,24.48,64.6,15.42,35.16,19.18,48.867,#N/A N/A,24.2091,56.7227,29.95,11.3125,25.0382,57.8348,68.4324,26.9005,22.29,#N/A N/A,#N/A N/A,20.6358,43.8832,14.22,#N/A N/A
11-01-2005,57.05,24.9868,#N/A N/A,39.5749,31.5122,3.798,17.8269,1.842,53.1359,33.1207,24.22,32.0254,40.737,27.075,49.57,11.2229,#N/A N/A,67.62,24.39,64.8,15.35,35,19.19,48.1,#N/A N/A,23.7807,53.8535,29.47,11.1271,24.7443,57.5365,67.7274,26.8015,22.42,#N/A N/A,#N/A N/A,20.3271,42.265,13.61,#N/A N/A
12-01-2005,56.2,25.2814,#N/A N/A,39.1555,30.9968,3.788,17.4531,1.894,52.3644,33.0972,23.7,32.698,40.6916,26.975,48.67,11.1239,#N/A N/A,67.62,24.13,64.4,15.19,34.75,19.37,48,#N/A N/A,23.8604,50.9401,29.42,11.3125,24.2228,57.0889,67.1986,26.6035,22.08,#N/A N/A,#N/A N/A,20.2999,42.265,13.42,#N/A N/A
13-01-2005,56.1,25.6495,#N/A N/A,39.4269,31.0202,3.845,17.3668,1.965,52.5572,32.9556,23.71,32.3399,40.9823,26.275,49.12,11.2471,#N/A N/A,68.53,24.15,63.85,15.3,35,19.54,47.967,#N/A N/A,24.1593,56.8552,29,11.1271,24.0048,57.8846,67.1546,27.8409,22.86,#N/A N/A,#N/A N/A,20.6631,41.9953,13.53,#N/A N/A
14-01-2005,56.25,25.7232,#N/A N/A,39.7723,31.1608,3.731,17.4243,1.975,53.0394,32.9084,23.55,32.733,41.7454,26.425,49.39,11.4113,#N/A N/A,70.23,23.62,64.45,15.24,34.88,19.94,47.833,#N/A N/A,24.0398,59.2168,29.24,11.498,24.5167,57.437,67.9477,27.9399,23.13,#N/A N/A,#N/A N/A,20.8446,42.188,13.37,#N/A N/A
