Date,UNH UN Equity,GS UN Equity,MSFT UQ Equity,HD UN Equity,CAT UN Equity,AMGN UQ Equity,MCD UN Equity,V UN Equity,CRM UN Equity,BA UN Equity,HON UQ Equity,AAPL UQ Equity,CVX UN Equity,TRV UN Equity,WMT UN Equity,JNJ UN Equity,AXP UN Equity,PG UN Equity,JPM UN Equity,IBM UN Equity,MRK UN Equity,NKE UN Equity,MMM UN Equity,DIS UN Equity,KO UN Equity,CSCO UQ Equity,DOW UN Equity,INTC UQ Equity,VZ UN Equity,WBA UQ Equity
04-01-2005,42.865,104.27,26.84,42.55,47.01,63.26,32.08,#N/A N/A,4.09,49.98,#N/A N/A,1.142,50.55,37.04,53.22,62.7,48.2054,54.5,38.41,92.3644,29.6833,11.175,81.73,27.1837,20.48,18.56,#N/A N/A,22.52,35.9255,#N/A N/A
05-01-2005,43.015,103.8,26.78,42.16,46.11,62.26,31.83,#N/A N/A,4.4875,50.81,#N/A N/A,1.152,50.88,36.98,53.29,62.66,47.6539,55.07,38.49,92.1733,29.8835,11.0413,80.73,27.0357,20.385,18.57,#N/A N/A,22.38,35.8717,#N/A N/A
06-01-2005,43.965,105.23,26.75,41.53,46.79,62.84,32.08,#N/A N/A,4.43,50.48,#N/A N/A,1.153,51.73,37.15,54.05,62.84,47.4088,55.34,38.69,91.8868,30.0647,11.0275,81.46,27.0752,20.55,18.85,#N/A N/A,22.46,35.4504,#N/A N/A
07-01-2005,43.615,104.78,26.67,41.42,46.69,62.97,31.87,#N/A N/A,4.3875,50.31,#N/A N/A,1.237,51.15,36.98,53.99,62.61,47.0587,55.92,38.4,91.4856,29.6833,10.9625,82.3,26.8088,20.58,18.72,#N/A N/A,22.8,35.325,#N/A N/A
10-01-2005,43.8,104.98,26.81,41.8,46.26,63.64,31.67,#N/A N/A,4.245,50.98,#N/A N/A,1.232,51.38,37.07,53.72,63.1,47.155,56.36,38.27,91.3901,30.0361,11.0712,83.94,26.9173,20.695,18.75,#N/A N/A,22.89,34.9843,#N/A N/A
11-01-2005,43.755,104.17,26.73,41.71,45.62,63.78,31.1,#N/A N/A,4.105,50.82,#N/A N/A,1.152,51.4,37.3,53.59,62.88,46.7173,56.3,37.9,90.7406,29.7214,11.0188,84.71,26.8482,20.58,18.64,#N/A N/A,22.54,34.5989,#N/A N/A
12-01-2005,44.045,103.27,26.78,42.2,46.185,64.84,31.34,#N/A N/A,3.775,51.94,#N/A N/A,1.169,52.49,37.54,54.08,63.32,46.6123,56.51,37.99,90.9412,29.6356,11.0738,84.96,27.3515,20.58,18.9,#N/A N/A,23.16,34.2673,#N/A N/A
13-01-2005,44.2,102.94,26.27,41.73,46.43,63.89,30.89,#N/A N/A,3.8125,50.63,#N/A N/A,1.246,52.06,37.29,53.64,61.97,46.2884,55.53,37.77,90.2152,29.2256,11.0025,83.79,27.3811,20.37,18.81,#N/A N/A,22.82,33.2544,#N/A N/A
14-01-2005,44.78,104.22,26.13,41.9,46.845,63.73,31.31,#N/A N/A,3.75,50.91,#N/A N/A,1.254,52.3,37.49,53.99,62.7,46.1483,55.88,37.81,89.8809,29.4353,11.1188,83.97,27.9238,20.485,18.87,#N/A N/A,23.01,33.0213,#N/A N/A
17-01-2005,44.78,104.22,26.13,41.9,46.845,63.73,31.31,#N/A N/A,3.75,50.91,#N/A N/A,1.254,52.3,37.49,53.99,62.7,46.1483,55.88,37.81,89.8809,29.4353,11.1188,83.97,27.9238,20.485,18.87,#N/A N/A,23.01,33.0213,#N/A N/A
