Date,SHEL LN Equity,AZN LN Equity,HSBA LN Equity,ULVR LN Equity,BP/ LN Equity,DGE LN Equity,GSK LN Equity,GLEN LN Equity,BATS LN Equity,RIO LN Equity,REL LN Equity,RKT LN Equity,LSEG LN Equity,NG/ LN Equity,CPG LN Equity,BA/ LN Equity,LLOY LN Equity,AAL LN Equity,EXPN LN Equity,BARC LN Equity,PRU LN Equity,FLTR LN Equity,AHT LN Equity,III LN Equity,TSCO LN Equity,RR/ LN Equity,HLN LN Equity,SSE LN Equity,STAN LN Equity,VOD LN Equity,RTO LN Equity,IMB LN Equity,LGEN LN Equity,NWG LN Equity,AV/ LN Equity,INF LN Equity,IHG LN Equity,SGE LN Equity,BNZL LN Equity,SMT LN Equity,SN/ LN Equity,NXT LN Equity,SGRO LN Equity,CNA LN Equity,WPP LN Equity,BT/A LN Equity,HLMA LN Equity,ADM LN Equity,BRBY LN Equity,SKG LN Equity,ABF LN Equity,SPX LN Equity,CRDA LN Equity,WTB LN Equity,MNDI LN Equity,ITRK LN Equity,UU/ LN Equity,MRO LN Equity,PSON LN Equity,SVT LN Equity,ENT LN Equity,SMIN LN Equity,AUTO LN Equity,IAG LN Equity,BME LN Equity,ANTO LN Equity,WEIR LN Equity,MKS LN Equity,PSH LN Equity,FCIT LN Equity,RMV LN Equity,DCC LN Equity,STJ LN Equity,CCH LN Equity,SBRY LN Equity,LAND LN Equity,BDEV LN Equity,MNG LN Equity,BKG LN Equity,KGF LN Equity,DPH LN Equity,TW/ LN Equity,IMI LN Equity,DPLM LN Equity,HWDN LN Equity,JD/ LN Equity,SMDS LN Equity,BEZ LN Equity,OCDO LN Equity,CTEC LN Equity,PHNX LN Equity,RS1 LN Equity,SDR LN Equity,HIK LN Equity,UTG LN Equity,HL/ LN Equity,EDV LN Equity,AAF LN Equity,FRES LN Equity,FRAS LN Equity
03-01-2005,#N/A N/A,1889,765.992,1136.667,508,743,1236.161,#N/A N/A,897.5,1266.417,555.06,1538.429,635.848,554.438,272.107,230.5,234.642,1262.77,#N/A N/A,527.173,387.151,838.981,70.249,612.665,407.55,84.762,#N/A N/A,872.5,777.36,201.124,147.75,1241.771,110,5266.488,826.316,262.079,1841.149,212.757,430.16,66.05,533,1650,1022.91,210.321,573,203,160,322.5,401,#N/A N/A,780.5,697.307,340.573,1117.013,#N/A N/A,705,815.294,602.365,628.5,1187.424,450.5,1232.999,#N/A N/A,155.801,#N/A N/A,224.2,321.5,328.052,#N/A N/A,194.5,#N/A N/A,1163.985,212,#N/A N/A,270.5,1352.01,389.839,#N/A N/A,809,309.75,162.499,206.466,450,127.8,124,2.075,99.83,82.849,#N/A N/A,#N/A N/A,#N/A N/A,284.75,127.67,#N/A N/A,294.114,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04-01-2005,#N/A N/A,1910,784.292,1153.889,505,753,1253.358,#N/A N/A,912.5,1224.286,570.944,1567.751,642.403,558.071,276.25,227,236.998,1242.27,#N/A N/A,533.92,393.133,831.742,74.341,623.704,402.8,83.99,#N/A N/A,874.5,786.59,203.616,146.5,1244.382,111.25,5317.589,835.526,265.204,1842.571,213.809,439.813,66.6,529,1681,1007.102,210.989,567.5,209,160,329,406,#N/A N/A,785,700.538,338.982,1137.466,#N/A N/A,707,821.118,602.365,630,1199.703,450.5,1243.499,#N/A N/A,157.127,#N/A N/A,214.2,330,329.008,#N/A N/A,196,#N/A N/A,1171.156,213,#N/A N/A,272.75,1320.141,398.692,#N/A N/A,803,316.25,161.608,208.933,456,128.3,126,2.075,102.074,82.37,#N/A N/A,#N/A N/A,#N/A N/A,287,129.2,#N/A N/A,295.575,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05-01-2005,#N/A N/A,1913,776.014,1144.444,504,744.5,1243.243,#N/A N/A,903,1216.025,568.633,1525.723,639.126,560.307,272.659,224.5,234.394,1243.295,#N/A N/A,530.772,390.356,812.269,73.205,616.345,399,83.39,#N/A N/A,880,778.97,202.192,145.75,1229.588,112.75,5269.494,841.447,263.121,1828.354,208.286,440.803,66.1,518.5,1627,994.548,212.101,560.5,207.75,158,332.5,400,#N/A N/A,774,706.461,337.921,1126.25,#N/A N/A,703,818.53,602.365,625.5,1201.545,450.5,1244.249,#N/A N/A,153.149,#N/A N/A,213.2,327.5,323.27,#N/A N/A,194.25,#N/A N/A,1166.015,212.5,#N/A N/A,266.75,1299.861,385.905,#N/A N/A,790,308.5,161.608,203.24,449.714,128.1,124.75,2.075,101.272,81.891,#N/A N/A,#N/A N/A,#N/A N/A,283,128.435,#N/A N/A,295.575,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06-01-2005,#N/A N/A,1938,774.707,1138.889,509,744,1248.301,#N/A N/A,902,1230.895,569.5,1532.565,636.941,556.674,273.488,230.5,235.634,1264.82,#N/A N/A,528.523,396.552,816.518,74.569,610.365,403.75,86.135,#N/A N/A,867,767.73,202.192,146.5,1224.367,116.25,5266.488,848.026,256.005,1832.619,207.497,443.525,66.35,514,1632,981.064,212.101,560.5,208.5,160,335.5,402.5,#N/A N/A,766.5,711.307,340.043,1146.703,#N/A N/A,706,826.294,602.365,624,1188.038,450.5,1241.249,#N/A N/A,160.773,#N/A N/A,218.2,325,323.987,#N/A N/A,194.5,#N/A N/A,1167.358,218,#N/A N/A,268.5,1308.553,376.069,#N/A N/A,800,310.5,161.608,199.824,448.571,125.8,125.75,2.075,101.753,82.37,#N/A N/A,#N/A N/A,#N/A N/A,285.75,128.35,#N/A N/A,289.732,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07-01-2005,#N/A N/A,1938,770.785,1132.222,509,750,1264.486,#N/A N/A,908,1222.634,570.655,1549.181,638.033,557.233,272.107,231,236.75,1254.57,#N/A N/A,537.069,397.834,826.168,75.933,611.745,405.017,87.508,#N/A N/A,860,764.92,205.751,148.75,1233.939,116.5,5335.625,849.342,270.758,1886.645,205.13,445.505,66,521.5,1626,988.038,211.656,556,207.5,159,342,402,#N/A N/A,760.5,716.154,339.778,1150.002,#N/A N/A,708,825,602.365,633,1173.916,450.5,1231.499,#N/A N/A,164.917,#N/A N/A,220.6,329.75,332.834,#N/A N/A,195,#N/A N/A,1173.299,227,#N/A N/A,272.25,1325.936,376.396,#N/A N/A,799.5,311.5,161.608,198.306,445.714,125.3,128,2.055,102.074,83.807,#N/A N/A,#N/A N/A,#N/A N/A,288.5,128.18,#N/A N/A,287.784,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10-01-2005,#N/A N/A,1932,768.607,1125.556,510,739.5,1250.324,#N/A N/A,900,1230.069,568.922,1523.768,638.852,553.041,273.488,233.75,236.626,1251.495,#N/A N/A,542.916,400.825,822.837,76.615,615.885,405.65,88.28,#N/A N/A,855,745.26,204.327,147,1238.29,117.5,5320.595,845.395,267.633,1875.271,210.39,446,66.35,521,1603,994.548,210.543,561.5,206,160,341,405.5,#N/A N/A,755,717.231,338.186,1147.363,#N/A N/A,701.5,821.765,602.365,634.5,1161.023,446.5,1223.999,#N/A N/A,165.414,#N/A N/A,221,327.75,329.726,#N/A N/A,195,#N/A N/A,1187.967,225,#N/A N/A,270.25,1338.49,371.478,#N/A N/A,790,308.75,161.608,198.876,448.286,125.8,129.25,2.055,101.272,84.525,#N/A N/A,#N/A N/A,#N/A N/A,289.75,127.245,#N/A N/A,289.245,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11-01-2005,#N/A N/A,1933,762.942,1128.889,508,736.5,1237.173,#N/A N/A,890,1245.765,563.146,1517.904,644.588,554.159,269.897,232.5,234.269,1253.545,#N/A N/A,535.27,395.27,852.056,75.478,616.345,406.917,87.079,#N/A N/A,855,752.48,202.904,146.5,1235.68,114,5326.607,829.605,270.063,1873.849,208.023,444.268,66,515.5,1600,985.249,210.321,560.5,205.75,159,341.5,417.75,#N/A N/A,755.5,727.461,342.43,1148.023,#N/A N/A,704,823.059,602.365,630.5,1149.357,446.5,1219.499,#N/A N/A,162.928,#N/A N/A,220.4,329,331.16,#N/A N/A,193.5,#N/A N/A,1212.554,226.75,#N/A N/A,266.5,1337.524,379.019,#N/A N/A,789,304.5,161.608,201.912,442,126.7,129.5,2.055,101.433,84.525,#N/A N/A,#N/A N/A,#N/A N/A,289,126.48,#N/A N/A,288.758,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12-01-2005,#N/A N/A,1924,758.149,1118.889,506.5,728,1210.872,#N/A N/A,885,1247.417,554.771,1491.514,642.403,554.997,268.515,235.5,231.169,1253.545,#N/A N/A,531.222,386.51,851.839,74.796,610.825,399.317,86.736,#N/A N/A,863.5,752.08,200.056,146.75,1233.939,113,5254.464,819.079,269.369,1872.428,206.182,438.08,65.85,513,1605,1002.917,208.318,557,207.75,157.5,331.5,405.5,#N/A N/A,754,726.384,342.695,1153.961,#N/A N/A,698,826.941,602.365,623,1162.251,446.5,1222.499,#N/A N/A,165.083,#N/A N/A,220.4,328,330.443,#N/A N/A,192.75,#N/A N/A,1202.738,225.5,#N/A N/A,264.75,1347.182,378.692,#N/A N/A,788,302.5,164.725,202.671,441.143,127.2,131,2.055,101.913,84.286,#N/A N/A,#N/A N/A,#N/A N/A,291,125.545,#N/A N/A,290.219,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13-01-2005,#N/A N/A,1920,761.199,1122.222,513.5,729,1214.918,#N/A N/A,893,1251.548,554.483,1497.378,643.496,557.792,270.449,238.75,232.285,1248.42,#N/A N/A,530.772,389.501,853.617,75.023,604.846,398.05,86.65,#N/A N/A,874.5,750.47,198.276,147,1228.718,113.25,5230.416,813.816,269.543,1892.332,207.234,446.248,66.3,514.5,1622,992.223,207.205,561.5,210.5,157.25,333,407.5,#N/A N/A,757,730.154,345.878,1165.177,#N/A N/A,712,825,602.365,627.5,1160.409,446.5,1226.249,#N/A N/A,163.757,#N/A N/A,219,328,329.726,#N/A N/A,193,#N/A N/A,1226.784,226,#N/A N/A,268,1337.524,381.315,#N/A N/A,791,307.25,164.725,202.671,456.857,127.2,127.75,2.055,103.676,84.286,#N/A N/A,#N/A N/A,#N/A N/A,289,127.16,#N/A N/A,303.366,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14-01-2005,#N/A N/A,1893,763.814,1127.778,516.5,740,1219.976,#N/A N/A,900.5,1280.461,557.948,1501.288,639.126,560.866,269.068,240.5,231.541,1269.944,#N/A N/A,534.82,384.159,848.847,75.251,605.765,401.217,87.851,#N/A N/A,878.5,752.08,198.276,146.75,1231.329,113,5206.368,810.526,270.931,1906.549,202.237,446.743,66.4,510.5,1627,1000.592,204.757,568,213.75,158,328,411.75,#N/A N/A,761.5,726.384,346.409,1177.053,#N/A N/A,720,834.059,602.365,633.5,1163.479,446.5,1239.749,#N/A N/A,167.403,#N/A N/A,218.4,327,329.008,#N/A N/A,193.5,#N/A N/A,1223.331,226.25,#N/A N/A,272.25,1363.599,392.134,#N/A N/A,796,308.75,162.499,209.123,458.286,127.2,127.25,2.055,101.593,84.525,#N/A N/A,#N/A N/A,#N/A N/A,292,129.285,#N/A N/A,299.471,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17-01-2005,#N/A N/A,1897,767.299,1121.111,516,746,1221.999,#N/A N/A,922.5,1313.505,559.681,1495.424,633.663,564.219,270.725,243.25,232.285,1290.444,#N/A N/A,532.121,384.587,854.186,73.432,610.365,409.45,88.452,#N/A N/A,881,768.93,198.632,146.75,1252.213,115.5,5260.476,814.474,272.84,1917.923,202.237,447.485,66.7,515,1628,1001.057,205.647,570,212.5,159,336,412,#N/A N/A,762,733.384,351.183,1188.269,#N/A N/A,724,834.059,602.365,634,1159.181,453.5,1267.499,#N/A N/A,170.055,#N/A N/A,228.2,327,332.356,#N/A N/A,194.5,#N/A N/A,1240.099,226.25,#N/A N/A,272.75,1362.633,386.56,#N/A N/A,794.5,309.5,162.499,208.743,457.714,126.9,129.5,2.055,101.593,84.046,#N/A N/A,#N/A N/A,#N/A N/A,290.5,130.305,#N/A N/A,299.471,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
