Date,9988 HK Equity,6690 HK Equity,857 HK Equity,101 HK Equity,1088 HK Equity,688 HK Equity,267 HK Equity,3692 HK Equity,11 HK Equity,2899 HK Equity,881 HK Equity,3 HK Equity,1099 HK Equity,992 HK Equity,66 HK Equity,1299 HK Equity,2628 HK Equity,968 HK Equity,27 HK Equity,939 HK Equity,6098 HK Equity,3988 HK Equity,316 HK Equity,1398 HK Equity,3968 HK Equity,388 HK Equity,2313 HK Equity,1038 HK Equity,9961 HK Equity,9618 HK Equity,2319 HK Equity,669 HK Equity,700 HK Equity,2318 HK Equity,960 HK Equity,941 HK Equity,6862 HK Equity,1876 HK Equity,2382 HK Equity,1044 HK Equity,386 HK Equity,9888 HK Equity,1113 HK Equity,241 HK Equity,883 HK Equity,5 HK Equity,1211 HK Equity,2388 HK Equity,1177 HK Equity,6618 HK Equity,9999 HK Equity,2020 HK Equity,9633 HK Equity,981 HK Equity,1209 HK Equity,322 HK Equity,291 HK Equity,3690 HK Equity,836 HK Equity,1109 HK Equity,823 HK Equity,2269 HK Equity,868 HK Equity,762 HK Equity,1928 HK Equity,1810 HK Equity,1929 HK Equity,1378 HK Equity,1997 HK Equity,1093 HK Equity,2 HK Equity,2688 HK Equity,175 HK Equity,1 HK Equity,16 HK Equity,17 HK Equity,2331 HK Equity,288 HK Equity,6 HK Equity,12 HK Equity
03-01-2005,#N/A N/A,#N/A N/A,4.2,12,#N/A N/A,1.781,22.15,#N/A N/A,108.5,0.46,#N/A N/A,4.667,#N/A N/A,2.325,12.5,#N/A N/A,5.3,#N/A N/A,6.1,#N/A N/A,#N/A N/A,#N/A N/A,27.045,#N/A N/A,#N/A N/A,20.9,#N/A N/A,21.8,#N/A N/A,#N/A N/A,3.05,17.4,0.857,6.6,#N/A N/A,26.65,#N/A N/A,#N/A N/A,#N/A N/A,4.786,2.462,#N/A N/A,#N/A N/A,2.275,4.175,122.695,5.487,14.95,0.153,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.9,#N/A N/A,1.71,11.137,#N/A N/A,4.149,1.31,#N/A N/A,#N/A N/A,#N/A N/A,6.2,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.042,44.6,4.325,0.37,55.391,77.75,29.744,3.653,#N/A N/A,35.5,20.783
04-01-2005,#N/A N/A,#N/A N/A,4.15,11.8,#N/A N/A,1.859,21.9,#N/A N/A,107.5,0.433,#N/A N/A,4.552,#N/A N/A,2.275,12.35,#N/A N/A,5.25,#N/A N/A,6.6,#N/A N/A,#N/A N/A,#N/A N/A,26.636,#N/A N/A,#N/A N/A,20.65,#N/A N/A,21.45,#N/A N/A,#N/A N/A,3.025,17.6,0.88,6.5,#N/A N/A,25.8,#N/A N/A,#N/A N/A,#N/A N/A,4.738,2.404,#N/A N/A,#N/A N/A,2.225,4.05,121.769,5.461,14.9,0.148,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.7,#N/A N/A,1.7,10.954,#N/A N/A,4.149,1.28,#N/A N/A,#N/A N/A,#N/A N/A,6.05,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.036,44.5,4.45,0.37,54.676,76.5,29.052,3.676,#N/A N/A,35.3,20.372
05-01-2005,#N/A N/A,#N/A N/A,4.075,11.5,#N/A N/A,1.763,21.35,#N/A N/A,105.5,0.407,#N/A N/A,4.451,#N/A N/A,2.175,12.1,#N/A N/A,5.1,#N/A N/A,7.6,#N/A N/A,#N/A N/A,#N/A N/A,25.955,#N/A N/A,#N/A N/A,20.35,#N/A N/A,20.65,#N/A N/A,#N/A N/A,2.925,17.1,0.866,6.375,#N/A N/A,24.7,#N/A N/A,#N/A N/A,#N/A N/A,4.665,2.327,#N/A N/A,#N/A N/A,2.175,4.025,120.843,5.289,14.65,0.15,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.2,#N/A N/A,1.69,10.495,#N/A N/A,4.125,1.23,#N/A N/A,#N/A N/A,#N/A N/A,5.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.021,44.1,4.45,0.36,53.068,74,27.841,3.744,#N/A N/A,34.9,19.603
06-01-2005,#N/A N/A,#N/A N/A,4.025,11.45,#N/A N/A,1.772,21.15,#N/A N/A,105.5,0.403,#N/A N/A,4.494,#N/A N/A,2.15,12.1,#N/A N/A,5.1,#N/A N/A,9.35,#N/A N/A,#N/A N/A,#N/A N/A,25.364,#N/A N/A,#N/A N/A,20,#N/A N/A,20.6,#N/A N/A,#N/A N/A,2.9,17.4,0.866,6.325,#N/A N/A,24.35,#N/A N/A,#N/A N/A,#N/A N/A,4.689,2.346,#N/A N/A,#N/A N/A,2.175,4.025,120.843,5.329,14.7,0.152,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.2,#N/A N/A,1.73,10.449,#N/A N/A,4.1,1.25,#N/A N/A,#N/A N/A,#N/A N/A,5.75,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.036,44.1,4.4,0.36,52.889,73.75,27.323,3.744,#N/A N/A,34.9,19.5
07-01-2005,#N/A N/A,#N/A N/A,4.025,11.6,#N/A N/A,1.753,20.75,#N/A N/A,104.5,0.41,#N/A N/A,4.451,#N/A N/A,2.175,11.9,#N/A N/A,5.05,#N/A N/A,7.3,#N/A N/A,#N/A N/A,#N/A N/A,24.909,#N/A N/A,#N/A N/A,19.85,#N/A N/A,20.55,#N/A N/A,#N/A N/A,3,17,0.876,6.4,#N/A N/A,24,#N/A N/A,#N/A N/A,#N/A N/A,4.641,2.288,#N/A N/A,#N/A N/A,2.15,3.975,119.917,5.329,14.5,0.151,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.9,#N/A N/A,1.7,10.633,#N/A N/A,3.977,1.23,#N/A N/A,#N/A N/A,#N/A N/A,5.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.016,43.8,4.35,0.365,51.817,71.75,27.15,3.721,#N/A N/A,34.5,19.192
10-01-2005,#N/A N/A,#N/A N/A,4.025,11.4,#N/A N/A,1.799,20.85,#N/A N/A,105,0.41,#N/A N/A,4.523,#N/A N/A,2.15,11.85,#N/A N/A,5.2,#N/A N/A,7.05,#N/A N/A,#N/A N/A,#N/A N/A,24.727,#N/A N/A,#N/A N/A,19.75,#N/A N/A,21.25,#N/A N/A,#N/A N/A,2.9,16.8,0.894,6.475,#N/A N/A,24,#N/A N/A,#N/A N/A,#N/A N/A,4.689,2.346,#N/A N/A,#N/A N/A,2.15,3.9,118.528,5.303,14.5,0.153,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.7,#N/A N/A,1.71,10.495,#N/A N/A,4.026,1.23,#N/A N/A,#N/A N/A,#N/A N/A,5.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.016,44.1,4.225,0.365,51.817,71.5,27.15,3.789,#N/A N/A,34.8,18.936
11-01-2005,#N/A N/A,#N/A N/A,4.025,11.4,#N/A N/A,1.79,20.8,#N/A N/A,104.5,0.433,#N/A N/A,4.523,#N/A N/A,2.15,11.7,#N/A N/A,5.25,#N/A N/A,4.5,#N/A N/A,#N/A N/A,#N/A N/A,25,#N/A N/A,#N/A N/A,19.75,#N/A N/A,20.85,#N/A N/A,#N/A N/A,2.9,16.35,0.88,6.55,#N/A N/A,24.05,#N/A N/A,#N/A N/A,#N/A N/A,4.496,2.327,#N/A N/A,#N/A N/A,2.175,3.85,118.991,5.25,14.4,0.152,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.9,#N/A N/A,1.71,10.358,#N/A N/A,3.977,1.23,#N/A N/A,#N/A N/A,#N/A N/A,5.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.026,43.9,4.225,0.365,51.281,71.75,27.15,3.835,#N/A N/A,34.5,19.038
12-01-2005,#N/A N/A,#N/A N/A,4.075,11.3,#N/A N/A,1.753,20.75,#N/A N/A,105,0.423,#N/A N/A,4.61,#N/A N/A,2.15,11.9,#N/A N/A,5.4,#N/A N/A,5.4,#N/A N/A,#N/A N/A,#N/A N/A,24.727,#N/A N/A,#N/A N/A,19.5,#N/A N/A,20.85,#N/A N/A,#N/A N/A,2.85,16.7,0.876,6.55,#N/A N/A,24.35,#N/A N/A,#N/A N/A,#N/A N/A,4.448,2.327,#N/A N/A,#N/A N/A,2.125,3.875,118.991,5.25,14.45,0.151,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.7,#N/A N/A,1.72,10.312,#N/A N/A,4.002,1.23,#N/A N/A,#N/A N/A,#N/A N/A,5.85,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.042,44,4.1,0.38,51.46,72.25,27.15,3.721,#N/A N/A,34.7,18.884
13-01-2005,#N/A N/A,#N/A N/A,4.1,11.5,#N/A N/A,1.726,20.8,#N/A N/A,105,0.427,#N/A N/A,4.566,#N/A N/A,2.125,12,#N/A N/A,5.35,#N/A N/A,7,#N/A N/A,#N/A N/A,#N/A N/A,25,#N/A N/A,#N/A N/A,19.6,#N/A N/A,20.95,#N/A N/A,#N/A N/A,2.8,16.4,0.862,6.6,#N/A N/A,24.45,#N/A N/A,#N/A N/A,#N/A N/A,4.544,2.308,#N/A N/A,#N/A N/A,2.1,3.85,118.528,5.092,14.5,0.15,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.5,#N/A N/A,1.74,10.22,#N/A N/A,4.026,1.24,#N/A N/A,#N/A N/A,#N/A N/A,5.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.031,44,4.05,0.37,52.174,71.75,27.15,3.744,#N/A N/A,34.8,19.038
14-01-2005,#N/A N/A,#N/A N/A,4.1,11.35,#N/A N/A,1.689,20.55,#N/A N/A,105,0.413,#N/A N/A,4.523,#N/A N/A,2.075,11.9,#N/A N/A,5.2,#N/A N/A,6.5,#N/A N/A,#N/A N/A,#N/A N/A,24.909,#N/A N/A,#N/A N/A,19.4,#N/A N/A,20.6,#N/A N/A,#N/A N/A,2.775,16.35,0.876,6.425,#N/A N/A,24.25,#N/A N/A,#N/A N/A,#N/A N/A,4.617,2.288,#N/A N/A,#N/A N/A,2.025,3.925,118.065,5.276,14.4,0.15,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.4,#N/A N/A,1.75,10.22,#N/A N/A,3.879,1.23,#N/A N/A,#N/A N/A,#N/A N/A,5.7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.031,43.9,3.975,0.37,51.817,70.5,26.977,3.653,#N/A N/A,34.6,18.679
