Date,VALE3 BS Equity,PETR4 BS Equity,ITUB4 BS Equity,PETR3 BS Equity,BBDC4 BS Equity,ELET3 BS Equity,BBAS3 BS Equity,ABEV3 BS Equity,WEGE3 BS Equity,ITSA4 BS Equity,RADL3 BS Equity,GGBR4 BS Equity,SBSP3 BS Equity,UGPA3 BS Equity,BBDC3 BS Equity,VIVT3 BS Equity,CMIG4 BS Equity,BRFS3 BS Equity,CPLE6 BS Equity,CCRO3 BS Equity,EMBR3 BS Equity,NTCO3 BS Equity,TIMS3 BS Equity,ELET6 BS Equity,EGIE3 BS Equity,GOAU4 BS Equity,CSNA3 BS Equity,CPFE3 BS Equity,BRAP4 BS Equity,BRKM5 BS Equity,USIM5 BS Equity,ALPA4 BS Equity,GOLL4 BS Equity
2011-01-03,56.97,27.0,14.899,30.3,11.774,22.665,31.4,10.231,3.251,6.224,2.706,22.029,14.637,13.474,9.276,38.05,9.555,27.14,4.165,11.62,11.9,24.698,6.87,27.165,21.44,27.178,27.3,19.724,18.305,20.25,18.858,6.473,25.9
2011-01-04,58.15,26.9,15.019,30.06,11.877,23.214,31.53,10.207,3.195,6.304,2.712,22.676,14.533,13.406,9.301,37.8,9.58,27.41,4.16,11.643,12.13,24.948,6.84,28.024,21.16,27.921,28.05,19.781,18.629,20.64,19.606,6.491,26.48
2011-01-05,59.2,27.22,15.244,30.63,12.098,23.854,31.98,10.059,3.152,6.384,2.688,22.81,14.83,13.594,9.372,38.0,9.649,28.0,4.245,11.65,12.19,24.648,6.92,28.704,21.52,28.287,28.75,19.871,19.292,20.93,20.058,6.551,26.49
2011-01-06,58.44,27.11,14.884,30.45,11.778,23.185,31.7,10.047,3.118,6.248,2.712,22.895,14.593,13.274,9.148,38.25,9.59,28.15,4.199,11.498,12.25,23.663,6.92,27.915,21.8,28.228,28.87,19.89,19.079,20.68,19.91,6.557,25.92
2011-01-07,58.0,26.73,14.519,30.0,11.578,23.035,30.95,9.94,3.123,6.064,2.646,22.933,14.667,13.361,9.076,39.5,9.834,28.48,4.2,11.473,12.14,23.498,6.88,27.725,21.88,28.307,29.05,20.041,18.96,20.1,20.254,6.576,25.92
2011-01-10,57.89,26.98,14.636,30.21,11.6,22.835,31.0,9.989,3.124,6.134,2.75,22.619,14.81,13.25,9.041,39.47,9.646,28.47,4.166,11.563,12.2,23.348,7.05,27.455,21.84,27.97,29.02,19.852,19.104,20.19,19.959,6.6,25.5
2011-01-11,58.5,27.15,14.726,30.5,11.66,22.635,31.37,9.959,3.173,6.196,2.687,22.8,14.883,13.38,9.041,39.35,9.785,28.82,4.254,11.87,12.25,23.173,7.35,27.215,21.96,28.089,29.55,19.885,19.329,19.83,20.343,6.672,26.15
2011-01-12,60.12,27.9,15.113,31.47,11.888,22.721,31.92,9.69,3.21,6.342,2.681,23.552,14.983,13.413,9.148,39.2,10.064,28.65,4.4,11.875,12.55,22.998,7.35,27.54,22.12,29.099,30.15,20.07,19.763,19.76,20.549,6.882,26.8
2011-01-13,59.7,27.31,14.782,30.5,11.742,22.981,31.6,9.532,3.173,6.219,2.692,23.162,15.067,13.45,8.98,38.5,10.22,28.2,4.502,11.713,12.27,22.923,7.25,27.85,21.912,28.564,29.7,20.334,19.624,19.34,19.95,7.285,26.7
2011-01-14,59.96,27.55,14.872,30.77,11.853,23.371,31.77,9.356,3.166,6.196,2.646,23.048,15.117,13.406,9.037,39.0,10.325,27.9,4.51,11.75,13.5,22.898,7.54,28.53,21.88,28.614,29.85,20.41,19.591,19.3,20.009,7.303,26.5
2011-01-17,60.17,27.45,14.662,30.47,11.689,23.321,31.4,9.522,3.158,6.125,2.683,22.771,15.03,13.425,8.941,39.18,10.374,28.03,4.473,11.588,13.35,23.218,7.34,28.3,21.728,28.119,29.53,20.448,19.652,20.0,19.851,7.303,26.0
2011-01-18,60.92,27.72,14.474,30.95,11.699,23.111,31.55,9.208,3.138,6.045,2.673,22.8,14.643,13.336,9.005,39.29,10.102,29.17,4.52,11.493,13.6,22.848,7.49,27.97,21.64,28.099,29.33,20.188,19.922,20.28,19.596,7.633,26.47
2011-01-19,59.6,27.3,14.317,30.14,11.56,22.641,31.1,9.17,3.148,5.927,2.627,22.114,14.593,13.186,8.948,38.59,10.043,28.85,4.47,11.723,13.59,22.573,7.33,27.22,21.6,27.317,28.78,19.999,19.574,20.35,19.134,7.423,26.01
2011-01-20,58.6,27.27,13.967,30.1,11.354,22.471,30.89,9.112,3.127,5.819,2.548,21.667,14.097,13.225,8.834,39.2,9.789,29.05,4.459,11.925,13.66,22.053,7.51,26.97,21.72,26.851,28.92,19.975,19.464,20.6,19.468,7.387,25.55
2011-01-21,59.0,27.05,13.971,29.87,11.261,22.481,30.75,8.911,3.089,5.819,2.548,21.505,13.553,13.236,8.866,38.6,9.569,28.2,4.44,11.9,13.39,21.798,7.43,26.81,21.8,26.634,28.67,19.923,19.648,20.3,19.419,7.213,25.72
2011-01-24,59.4,27.0,14.073,30.01,11.436,22.501,31.03,9.156,3.046,5.871,2.519,21.429,13.667,13.25,8.945,38.61,9.614,28.55,4.406,11.998,13.33,22.498,7.73,27.0,21.736,26.485,28.78,20.088,19.967,20.7,19.173,7.303,25.76
2011-01-25,59.4,27.0,14.073,30.01,11.436,22.501,31.03,9.156,3.046,5.871,2.519,21.429,13.667,13.25,8.945,38.61,9.614,28.55,4.406,11.998,13.33,22.498,7.73,27.0,21.736,26.485,28.78,20.088,19.967,20.7,19.173,7.303,25.76
2011-01-26,59.35,26.83,13.874,29.5,11.368,22.192,31.0,9.35,3.007,5.762,2.51,21.029,13.897,13.276,8.909,39.2,9.681,28.68,4.355,12.06,13.22,22.523,7.65,26.8,21.336,25.842,28.83,19.847,19.656,21.2,18.593,7.153,25.72
2011-01-27,58.76,26.87,13.93,29.61,11.414,22.122,31.0,9.33,2.996,5.776,2.462,20.667,13.907,13.313,8.909,39.15,9.635,28.2,4.339,11.6,13.45,21.973,7.69,26.75,21.08,25.594,28.37,19.616,19.243,20.85,18.583,6.912,25.13
2011-01-28,57.07,26.67,13.626,29.35,11.143,22.222,30.36,9.07,2.922,5.687,2.342,20.0,13.42,13.275,8.766,39.0,9.465,27.42,4.24,11.408,13.52,21.773,7.5,26.73,20.488,24.752,27.73,19.422,18.829,20.35,18.386,6.666,24.52
2011-01-31,57.08,27.09,13.363,30.05,10.976,22.391,29.76,8.949,2.938,5.555,2.308,20.333,13.6,13.15,8.695,39.18,9.541,27.35,4.25,11.508,13.52,21.348,7.49,26.95,20.64,25.238,27.7,19.398,18.719,20.97,19.104,6.431,23.81
2011-02-01,58.49,27.64,13.554,30.69,10.99,22.441,29.9,8.879,2.929,5.607,2.333,21.238,13.917,13.499,8.731,39.12,9.472,27.93,4.225,11.728,13.64,21.698,7.47,26.84,21.232,26.267,28.34,19.583,19.099,20.95,19.802,6.443,24.19
2011-02-02,57.4,27.8,13.427,31.0,10.851,22.391,29.58,8.941,2.913,5.475,2.292,21.19,13.673,13.25,8.642,39.0,9.402,27.47,4.18,11.65,13.8,20.948,7.45,26.95,20.88,26.198,27.9,19.261,18.649,20.73,18.976,6.293,23.47
