Date,OR FP Equity,DG FP Equity,TTE FP Equity,AI FP Equity,DSY FP Equity,CS FP Equity,ERF FP Equity,BNP FP Equity,BN FP Equity,CAP FP Equity,CA FP Equity,SGO FP Equity,EL FP Equity,MC FP Equity,ML FP Equity,KER FP Equity,PUB FP Equity,RNO FP Equity,SAF FP Equity,HO FP Equity,TEP FP Equity,RMS FP Equity,ORA FP Equity,MT NA Equity,EN FP Equity,ALO FP Equity,VIE FP Equity,SAN FP Equity,GLE FP Equity,SU FP Equity,AIR FP Equity,ACA FP Equity,RI FP Equity,STMPA FP Equity
2011-01-03,85.5,41.72,40.59,58.0956,5.672,12.83,5.423,49.335,47.93,35.895,27.9982,39.98,48.48,112.07,13.7425,110.95,39.5,44.08,27.415,26.785,25.45,157.3,15.9,63.962,32.94,33.8263,21.554,49.1223,41.84,58.225,17.785,9.839,71.13,8.081
2011-01-04,85.04,41.425,41.13,57.9384,5.711,13.075,5.587,50.0,47.475,35.725,28.3738,39.485,48.965,109.54,13.57,109.39,39.6,44.94,27.75,26.695,25.39,158.65,15.945,62.2405,32.64,34.2389,21.5589,49.4207,43.1,58.8,17.93,10.055,69.9,8.096
2011-01-05,84.66,40.875,41.29,57.4546,5.669,13.24,5.726,50.15,46.755,35.93,28.0855,39.05,48.75,107.97,13.6875,108.61,38.35,45.45,27.4,26.6,25.1,158.05,15.98,61.3577,32.895,34.0349,21.3082,49.5699,42.735,57.775,18.39,10.1,68.9,8.287
2011-01-06,84.57,40.385,41.55,56.4204,5.689,13.5,5.556,49.835,46.44,35.125,28.4131,38.185,48.395,109.86,13.3875,107.88,38.61,46.82,27.735,26.515,25.74,155.05,16.125,60.8169,32.76,33.8819,21.4383,50.0075,42.14,57.15,19.08,9.9,68.74,8.406
2011-01-07,83.7,39.995,41.22,55.8519,5.703,13.205,5.5,48.715,46.17,35.3,28.3214,38.05,48.4,107.56,13.39,106.37,38.47,47.25,28.2,26.535,25.62,160.6,15.935,60.0334,32.625,33.1772,21.4142,49.4804,40.88,57.575,19.15,9.68,69.87,8.377
2011-01-10,82.6,39.64,40.69,55.0233,5.664,12.755,5.49,47.32,45.935,34.525,28.0069,37.61,48.275,107.2,13.275,105.23,37.38,47.5,28.0,26.01,25.29,159.5,15.675,58.5988,31.96,32.4539,20.8647,48.6399,39.33,56.775,19.16,9.399,69.34,8.271
2011-01-11,84.24,40.305,41.04,56.2389,5.767,12.975,5.532,47.935,46.015,34.275,28.3039,39.235,48.46,109.27,13.505,109.25,37.55,49.34,28.21,26.505,25.56,160.0,15.71,59.6471,32.245,34.4892,21.0961,49.172,40.41,57.85,20.07,9.621,69.61,8.685
2011-01-12,83.94,40.805,41.74,57.4425,5.758,13.67,5.594,50.26,45.995,34.845,28.697,41.0,48.84,109.09,13.405,109.71,37.32,48.5,27.38,26.31,25.46,158.95,15.945,61.3245,32.865,35.1847,21.7228,50.9722,43.27,57.75,20.495,10.18,70.72,8.911
2011-01-13,83.27,41.205,42.0,57.3276,5.74,14.3,5.503,51.69,45.69,35.72,29.1775,41.89,48.94,107.11,13.2275,109.02,36.71,48.25,26.75,26.295,25.5,158.5,15.94,60.1769,33.145,36.0749,22.0795,51.5192,45.21,58.7,20.3,10.4,70.51,8.859
2011-01-14,82.75,41.595,42.4,57.0675,5.639,14.54,5.528,52.57,45.255,36.48,29.0246,42.355,48.74,105.22,13.25,108.66,36.67,48.715,27.37,26.08,25.52,155.15,15.825,59.8127,33.245,36.5338,22.0072,50.9225,45.19,58.325,20.75,10.375,70.26,8.72
