Date,UNH UN Equity,GS UN Equity,MSFT UQ Equity,HD UN Equity,CAT UN Equity,AMGN UQ Equity,MCD UN Equity,CRM UN Equity,BA UN Equity,AAPL UQ Equity,CVX UN Equity,TRV UN Equity,WMT UN Equity,JNJ UN Equity,AXP UN Equity,PG UN Equity,JPM UN Equity,IBM UN Equity,MRK UN Equity,NKE UN Equity,MMM UN Equity,DIS UN Equity,KO UN Equity,CSCO UQ Equity,INTC UQ Equity,VZ UN Equity
2011-01-03,37.13,173.05,27.98,35.31,94.15,55.55,76.6,34.15,66.4,11.776,91.94,55.82,54.56,62.82,43.4,64.77,43.58,140.8676,34.3651,21.5225,86.79,37.82,32.61,20.49,20.85,36.43
2011-01-04,37.47,173.08,28.04,34.67,93.71,56.75,74.31,33.9225,66.94,11.832,91.6,55.57,54.77,63.35,43.95,64.95,44.16,141.0204,34.6607,20.9925,86.67,38.99,31.935,20.53,21.14,37.16
2011-01-05,37.59,174.0,28.0,34.56,94.52,56.73,74.66,35.55,67.48,11.929,91.44,55.24,54.41,63.31,45.04,64.8,44.7,140.4569,34.8609,21.13,86.67,39.96,31.745,20.77,20.94,37.67
2011-01-06,38.37,172.21,28.8,34.42,93.54,56.55,74.21,35.835,68.8,11.921,90.69,54.39,53.96,63.21,44.73,64.69,44.48,141.9947,35.3377,20.94,86.14,39.65,31.515,20.95,20.77,36.23
2011-01-07,38.45,170.69,28.58,34.38,93.73,56.95,74.37,35.555,69.38,12.004,91.19,53.33,54.08,62.6,44.36,64.5,43.64,141.2974,35.6142,20.8825,86.23,39.45,31.46,20.97,20.66,35.93
2011-01-10,38.45,169.76,28.21,34.39,93.39,56.44,73.56,35.66,69.09,12.223,90.41,53.85,53.73,62.16,44.46,64.36,43.4,141.0204,35.4712,21.0425,87.15,39.5,31.53,20.78,20.69,35.92
2011-01-11,39.08,169.36,28.13,34.86,93.95,56.19,73.9,35.28,68.96,12.201,91.83,53.9,54.29,62.27,45.04,64.04,43.6,140.6766,35.2328,21.005,87.74,39.4,31.345,20.88,21.05,35.36
2011-01-12,38.86,171.67,28.54,34.83,93.49,56.92,73.61,35.41,70.15,12.301,92.45,54.59,54.85,62.5,45.0,64.97,44.71,142.415,35.4235,20.9325,88.66,39.17,31.52,21.1,21.3,35.47
2011-01-13,39.6,171.57,28.19,35.27,94.14,56.32,72.67,35.9625,69.83,12.346,92.18,54.67,54.79,62.91,45.06,65.48,44.45,142.1475,33.0778,20.64,88.04,39.26,31.7,21.08,21.29,35.8
2011-01-14,40.77,175.0,28.3,35.89,94.01,56.5,74.06,36.6175,70.07,12.446,92.83,54.63,54.81,62.55,46.25,65.53,44.91,143.2746,32.6392,21.0175,88.1,39.29,31.565,21.21,21.08,35.46
2011-01-17,40.77,175.0,28.3,35.89,94.01,56.5,74.06,36.6175,70.07,12.446,92.83,54.63,54.81,62.55,46.25,65.53,44.91,143.2746,32.6392,21.0175,88.1,39.29,31.565,21.21,21.08,35.46
2011-01-18,40.88,174.68,28.66,36.02,96.23,57.29,74.68,36.0825,72.47,12.181,93.35,54.67,55.14,62.1,46.37,65.49,44.75,143.8955,32.2959,21.015,88.14,39.39,31.74,21.23,21.09,34.36
2011-01-19,40.56,166.49,28.47,35.63,95.54,56.98,75.35,35.21,71.73,12.101,92.97,54.45,55.03,62.56,45.24,65.35,43.71,148.7095,32.3341,20.915,87.96,39.09,31.71,20.82,21.01,34.6
2011-01-20,40.31,165.69,28.36,36.49,93.61,57.31,75.16,32.9475,71.12,11.888,92.71,54.88,55.99,62.86,45.27,65.8,44.75,148.8146,32.4676,20.7675,88.04,39.17,31.465,20.76,20.95,34.61
2011-01-21,40.41,166.2,28.02,36.51,92.75,56.97,75.01,33.06,71.68,11.669,93.78,55.0,55.73,62.66,46.0,65.91,45.29,148.528,32.3245,20.575,89.29,39.74,31.38,20.74,20.82,34.95
2011-01-24,39.81,166.3,28.38,36.65,94.57,57.29,75.38,31.9575,72.73,12.052,94.1,55.62,56.05,62.22,45.79,66.58,45.02,152.4728,32.2292,20.665,90.32,39.94,31.625,21.17,21.24,35.24
2011-01-25,40.62,161.98,28.45,37.16,94.39,57.16,75.48,30.9925,72.24,12.193,94.08,56.23,57.26,61.08,44.8,66.7,44.87,154.2017,31.8096,20.72,88.5,39.86,31.48,21.54,21.56,35.79
2011-01-26,40.25,161.3,28.75,37.42,95.75,56.48,75.17,32.0725,70.02,12.282,94.64,56.2,57.32,60.6,44.46,66.11,44.98,153.8196,31.6571,21.0,89.57,39.44,31.48,21.38,21.75,36.4
2011-01-27,42.29,164.03,28.83,37.98,96.63,56.48,74.35,32.06,70.56,12.259,94.75,56.63,57.57,60.68,44.54,64.18,45.1,153.8483,31.7047,20.6925,89.19,39.46,31.35,21.45,21.75,36.49
2011-01-28,40.93,161.77,27.76,36.7,95.68,55.29,73.28,32.9025,69.23,12.002,93.37,55.81,56.7,60.01,43.86,64.2,44.54,152.0717,31.5331,20.365,87.44,38.85,31.105,20.93,21.46,35.63
