Date,AZN LN Equity,HSBA LN Equity,ULVR LN Equity,BP/ LN Equity,DGE LN Equity,GSK LN Equity,BATS LN Equity,RIO LN Equity,REL LN Equity,RKT LN Equity,LSEG LN Equity,NG/ LN Equity,CPG LN Equity,BA/ LN Equity,LLOY LN Equity,AAL LN Equity,BARC LN Equity,PRU LN Equity,FLTR LN Equity,AHT LN Equity,III LN Equity,TSCO LN Equity,RR/ LN Equity,SSE LN Equity,STAN LN Equity,VOD LN Equity,RTO LN Equity,IMB LN Equity,LGEN LN Equity,NWG LN Equity,AV/ LN Equity,INF LN Equity,IHG LN Equity,SGE LN Equity,BNZL LN Equity,SMT LN Equity,SN/ LN Equity,NXT LN Equity,SGRO LN Equity,CNA LN Equity,WPP LN Equity,BT/A LN Equity,HLMA LN Equity,ADM LN Equity,BRBY LN Equity,ABF LN Equity,SPX LN Equity,CRDA LN Equity,WTB LN Equity,ITRK LN Equity,UU/ LN Equity,MRO LN Equity,PSON LN Equity,SVT LN Equity,ENT LN Equity,SMIN LN Equity,IAG LN Equity,ANTO LN Equity,WEIR LN Equity,MKS LN Equity,FCIT LN Equity,DCC LN Equity,STJ LN Equity,SBRY LN Equity,LAND LN Equity,BDEV LN Equity,BKG LN Equity,KGF LN Equity,DPH LN Equity,TW/ LN Equity,IMI LN Equity,DPLM LN Equity,HWDN LN Equity,JD/ LN Equity,SMDS LN Equity,BEZ LN Equity,RS1 LN Equity,SDR LN Equity,UTG LN Equity
2011-01-03,2922.0,651.1,1963.0,465.55,1185.0,1254.37,2463.5,4486.5,541.5,3445.339,771.92,603.273,642.006,330.0,65.7,3319.99,241.698,570.898,2876.12,172.9,328.5,538.333,213.794,1225.0,1642.33,206.57,96.9,1968.0,96.75,420.754,517.105,375.168,1903.442,287.603,719.0,141.6,676.5,1975.0,273.81,331.6,789.5,180.8,359.0,1515.0,1124.0,1181.0,2082.769,1714.538,1537.828,1775.0,592.0,878.454,1008.0,1478.0,107.0,1245.0,180.663,1612.0,1780.0,352.919,309.6,2008.201,265.7,376.3,718.933,88.65,890.0,263.4,453.229,31.51,1080.0,277.5,102.2,8.75,129.603,115.0,265.8,315.35,192.532
2011-01-04,2990.0,668.1,1972.0,492.9,1197.0,1284.212,2488.0,4502.0,541.5,3535.259,784.816,619.636,627.641,342.3,67.84,3391.157,251.951,579.017,2871.082,171.7,337.5,548.593,222.544,1239.0,1665.65,211.741,97.55,1985.0,100.2,438.093,535.395,386.676,1935.6,289.181,731.5,142.5,679.0,2015.0,282.414,332.1,798.0,185.0,360.4,1548.0,1142.0,1164.0,2082.769,1661.489,1568.757,1799.0,597.5,898.226,1017.0,1486.0,107.0,1299.0,189.547,1622.0,1775.0,358.084,310.2,2049.885,274.5,383.9,725.867,93.05,937.5,267.0,463.2,32.11,1065.714,284.0,102.2,8.845,132.039,116.9,268.9,321.81,198.384
2011-01-05,3009.0,689.0,1955.0,499.25,1204.0,1266.509,2485.0,4476.5,537.5,3495.186,799.555,631.636,633.166,341.8,68.53,3332.929,259.572,582.863,2816.219,164.7,340.0,553.09,224.432,1242.0,1683.73,218.406,97.95,2012.0,103.4,441.0,542.237,389.07,1995.322,291.074,745.5,141.3,673.5,2103.0,284.422,335.7,780.5,186.1,359.5,1565.0,1120.0,1150.0,2050.461,1642.391,1573.912,1801.0,595.0,899.639,1009.0,1465.0,107.5,1301.0,190.674,1586.0,1744.0,358.658,313.0,2014.022,277.5,386.0,728.533,95.8,941.0,265.2,475.437,32.8,1053.714,296.5,105.0,8.84,133.321,117.4,273.0,320.62,197.392
2011-01-06,3026.0,687.3,1928.0,496.9,1228.0,1263.98,2481.0,4437.0,531.0,3438.497,800.936,632.182,633.718,350.9,67.25,3294.111,256.801,588.845,2793.193,171.1,337.8,544.603,226.148,1220.0,1674.69,218.905,98.2,2019.0,104.5,436.046,547.5,391.095,2006.041,293.388,745.0,140.9,662.5,2074.0,280.597,335.0,793.0,185.4,356.6,1567.0,1121.0,1139.0,2074.153,1639.209,1594.53,1772.0,597.0,903.876,1013.0,1463.0,107.5,1291.0,199.027,1537.0,1752.0,371.282,315.4,1978.373,280.8,387.3,727.467,96.4,942.0,260.5,486.314,35.0,1045.714,287.0,107.0,8.655,132.039,117.3,274.0,322.66,193.424
2011-01-07,2989.0,680.0,1906.0,492.5,1221.0,1252.853,2426.5,4426.5,530.0,3411.129,820.741,628.909,625.431,346.8,66.43,3265.743,254.122,582.008,2739.481,170.5,329.3,544.223,226.319,1229.0,1649.47,217.721,97.35,1982.0,103.4,431.846,538.947,389.99,2035.136,295.072,752.0,140.1,650.0,2087.0,280.024,336.2,794.5,185.0,354.9,1548.0,1127.0,1150.0,2067.692,1615.867,1621.163,1766.0,599.5,904.158,996.5,1470.0,107.5,1294.0,202.21,1511.0,1755.0,371.474,312.6,1914.846,282.0,391.5,731.733,93.4,938.0,263.6,479.063,34.04,1052.0,301.75,106.5,8.95,132.039,116.9,276.0,323.0,196.499
2011-01-10,2966.0,672.4,1897.0,486.35,1207.0,1248.301,2418.5,4389.0,537.5,3409.175,794.488,616.363,626.536,340.4,65.19,3211.497,255.6,574.316,2736.476,166.4,325.8,544.223,224.089,1219.0,1632.33,220.275,96.25,1958.0,102.5,425.385,534.211,389.162,2019.823,291.074,757.0,139.4,712.0,2065.0,273.714,333.8,777.5,187.3,352.0,1543.0,1119.0,1141.0,2081.692,1615.867,1604.84,1864.0,592.0,913.197,983.0,1461.0,107.5,1273.0,197.436,1505.0,1751.0,367.265,312.7,1897.393,279.3,389.3,729.067,92.45,940.0,262.2,480.422,32.87,1045.714,294.5,105.5,8.685,130.885,115.3,278.0,320.79,188.564
2011-01-11,3000.0,688.7,1903.0,500.0,1236.0,1238.69,2430.0,4446.0,547.0,3399.401,834.558,601.636,636.481,340.0,66.18,3268.232,269.734,588.845,2725.977,176.2,326.0,538.776,228.207,1211.0,1619.96,216.413,97.6,1968.0,106.0,433.569,537.5,404.629,2030.542,296.755,770.5,140.8,670.0,2050.0,281.362,333.1,779.0,190.8,352.0,1536.0,1142.0,1136.0,2113.999,1636.026,1611.713,1875.0,588.5,922.236,987.5,1461.0,107.5,1294.0,199.226,1532.0,1801.0,356.936,315.9,2001.235,278.9,390.4,738.133,94.9,949.5,263.0,484.954,33.29,1061.143,301.0,116.1,8.56,139.602,116.2,278.8,326.06,194.416
2011-01-12,3014.0,715.0,1901.0,503.9,1212.0,1243.243,2411.0,4542.5,542.5,3377.898,821.202,588.0,627.088,345.6,67.71,3380.706,279.525,596.11,2737.186,170.0,330.1,536.686,228.035,1215.0,1660.41,213.049,99.1,1941.0,109.0,443.693,554.342,402.88,2030.542,296.86,770.0,142.9,680.5,2053.0,288.246,327.4,775.0,188.3,346.7,1525.0,1118.0,1131.0,2180.769,1724.087,1618.586,1837.0,580.0,919.693,984.5,1447.0,107.5,1285.0,201.215,1571.0,1802.0,356.362,316.2,1978.697,281.3,382.0,754.133,92.9,941.5,261.8,482.235,33.0,1040.571,303.75,115.4,8.89,143.448,115.2,271.8,326.74,195.607
2011-01-13,2995.0,713.0,1897.0,503.7,1224.0,1239.702,2325.0,4503.5,543.5,3347.598,809.227,578.182,619.353,342.6,68.53,3394.143,282.666,593.118,2750.702,166.3,331.4,513.696,227.692,1213.0,1641.85,214.17,98.05,1915.0,110.3,459.093,564.605,404.813,2025.948,299.7,768.0,141.8,684.5,2094.0,288.437,329.2,774.5,185.5,342.3,1569.0,1080.0,1126.0,2141.999,1718.782,1594.53,1824.0,564.5,917.716,1010.0,1419.0,107.5,1283.0,198.563,1539.0,1755.0,363.44,314.1,1948.867,280.1,381.5,750.933,95.45,943.0,261.5,474.53,33.24,1084.571,294.75,115.0,8.85,144.858,115.3,264.9,322.15,199.376
2011-01-14,2990.0,709.7,1894.0,499.5,1225.0,1239.196,2366.5,4436.0,548.0,3330.005,811.99,579.273,622.116,346.7,69.61,3284.655,287.285,595.682,2665.321,162.0,330.1,513.696,224.603,1199.0,1627.57,214.232,97.8,1915.0,110.0,459.631,565.263,406.838,2039.73,300.436,765.0,142.0,685.0,2116.0,288.724,327.2,774.0,182.0,335.9,1573.0,1055.0,1120.0,2061.23,1697.562,1572.193,1811.0,560.5,915.457,997.0,1424.0,107.5,1282.0,195.381,1502.0,1739.0,361.144,313.7,1933.031,272.5,379.7,746.667,95.75,943.0,262.5,470.451,33.94,1076.571,295.0,115.2,8.8,142.166,115.5,261.9,320.62,206.716
