Date,857 HK Equity,101 HK Equity,688 HK Equity,267 HK Equity,11 HK Equity,2899 HK Equity,3 HK Equity,992 HK Equity,66 HK Equity,2628 HK Equity,27 HK Equity,316 HK Equity,388 HK Equity,1038 HK Equity,2319 HK Equity,669 HK Equity,700 HK Equity,2318 HK Equity,941 HK Equity,1044 HK Equity,386 HK Equity,241 HK Equity,883 HK Equity,5 HK Equity,1211 HK Equity,2388 HK Equity,1177 HK Equity,981 HK Equity,322 HK Equity,291 HK Equity,836 HK Equity,1109 HK Equity,762 HK Equity,1093 HK Equity,2 HK Equity,2688 HK Equity,175 HK Equity,1 HK Equity,16 HK Equity,17 HK Equity,2331 HK Equity,6 HK Equity,12 HK Equity
2011-01-03,10.36,37.0,14.222,20.55,130.0,4.793,7.101,4.98,29.05,32.1,9.29,77.4,179.8,36.0,10.375,10.28,32.151,44.15,77.7,65.312,5.823,0.97,18.98,80.05,40.6,26.75,0.865,5.9,20.45,29.332,14.12,14.46,11.22,2.318,63.95,24.7,3.43,89.84,131.4,51.74,15.14,49.5,27.839
2011-01-04,10.3,37.0,14.746,20.65,129.8,4.833,7.116,5.08,29.1,32.45,9.64,81.8,185.6,36.3,10.55,10.28,32.797,43.55,77.75,66.956,5.908,0.98,18.82,80.3,42.9,27.75,0.877,5.9,20.8,30.019,14.22,14.9,11.26,2.37,63.6,25.1,3.49,90.984,133.2,52.916,15.793,49.55,28.275
2011-01-05,10.24,37.35,14.941,20.7,132.1,4.78,7.109,5.0,28.9,32.5,9.8,82.25,185.6,36.1,10.6,10.86,33.018,42.675,77.3,67.487,5.946,0.95,18.54,82.25,42.95,28.15,0.874,5.9,20.65,30.111,14.22,15.54,11.24,2.375,63.9,25.0,3.61,91.984,135.7,53.677,15.702,49.6,28.172
2011-01-06,10.26,37.6,14.843,20.45,132.0,4.753,7.009,5.04,28.9,32.05,9.75,82.2,184.8,37.35,10.5,11.28,33.184,42.375,77.45,67.197,5.938,0.98,18.84,82.7,43.35,27.9,0.859,6.1,20.65,29.698,13.98,15.18,11.12,2.344,64.2,25.15,3.79,93.985,138.6,54.092,15.176,49.5,29.045
2011-01-07,10.18,37.1,15.057,20.6,133.4,4.7,7.009,5.02,29.75,32.55,9.85,81.8,184.5,36.55,10.475,10.84,32.815,41.95,77.0,66.279,5.954,0.96,18.38,82.75,43.05,27.85,0.85,6.3,20.5,29.79,13.58,15.36,11.16,2.354,64.05,24.8,3.85,92.485,136.7,55.198,15.103,49.45,28.916
2011-01-10,10.14,36.25,14.688,20.45,130.9,4.567,6.955,4.82,29.25,32.0,10.42,80.6,182.2,36.0,10.35,10.62,32.926,41.65,76.45,64.345,5.869,0.93,18.62,81.7,41.85,26.95,0.853,6.2,20.35,29.378,13.26,14.9,11.04,2.344,64.0,24.7,3.72,92.77,136.3,54.023,15.176,49.15,28.737
2011-01-11,10.32,36.15,14.785,20.55,130.8,4.56,7.024,4.68,29.6,32.05,11.1,80.6,182.8,35.85,9.98,10.48,33.129,41.625,76.9,62.75,5.885,0.93,19.04,82.4,41.25,27.35,0.841,6.1,20.35,29.423,13.3,14.84,11.02,2.318,64.55,25.05,3.69,94.629,138.1,55.337,15.303,49.15,29.199
2011-01-12,10.52,35.7,14.863,21.35,131.5,4.58,7.016,4.83,29.55,32.65,10.82,84.0,188.8,36.2,9.84,10.7,34.382,42.425,78.3,60.864,6.008,0.91,19.34,85.45,42.75,27.15,0.836,6.2,20.7,29.24,13.4,15.08,11.22,2.344,64.65,25.65,3.8,94.2,138.6,55.959,15.303,49.35,29.25
2011-01-13,10.74,36.0,14.746,21.25,130.7,4.573,6.986,4.89,29.5,32.45,10.92,85.25,189.1,36.15,9.92,10.34,35.783,42.775,78.1,61.783,6.108,0.94,19.24,86.6,42.55,27.25,0.836,6.4,20.9,28.69,13.34,14.9,11.5,2.323,64.45,25.3,3.77,93.557,136.6,55.821,15.249,49.85,28.788
2011-01-14,10.7,35.95,14.805,21.15,132.4,4.533,6.939,4.95,29.55,32.3,10.9,83.25,187.3,36.65,9.87,10.04,37.055,42.05,77.85,59.656,6.062,0.93,19.04,86.75,42.5,28.05,0.833,6.3,20.35,28.736,13.34,14.68,11.56,2.333,64.0,25.7,3.74,96.13,136.6,54.714,15.503,49.4,28.403
2011-01-17,10.58,35.6,14.533,20.65,132.8,4.467,6.939,4.89,29.55,32.05,11.0,80.2,185.5,36.4,9.83,10.22,37.129,41.125,77.6,59.221,5.931,0.91,19.1,86.8,42.7,27.65,0.812,6.3,20.4,28.186,13.24,14.14,11.66,2.323,64.05,25.35,3.63,96.773,136.9,55.06,14.341,49.6,28.532
2011-01-18,10.8,35.15,14.61,21.0,132.9,4.48,6.986,4.89,29.75,31.9,11.68,81.8,184.5,36.35,9.95,10.18,37.055,40.975,76.85,60.091,5.962,0.91,18.94,87.5,41.55,27.45,0.794,6.4,20.25,28.324,13.5,14.08,11.56,2.349,64.25,25.35,3.62,95.844,138.8,54.714,13.778,49.55,28.609
