Date,600519 CH Equity,600036 CH Equity,000858 CH Equity,600900 CH Equity,600030 CH Equity,600276 CH Equity,600887 CH Equity,600309 CH Equity,000651 CH Equity,000568 CH Equity,000725 CH Equity,600809 CH Equity,600028 CH Equity,000001 CH Equity,000063 CH Equity,600837 CH Equity,600016 CH Equity,600031 CH Equity,600050 CH Equity,000792 CH Equity,600690 CH Equity,600406 CH Equity,000002 CH Equity,600438 CH Equity,600000 CH Equity,600436 CH Equity,600089 CH Equity,002027 CH Equity,600104 CH Equity,000625 CH Equity,600585 CH Equity,600150 CH Equity,000100 CH Equity,600660 CH Equity,600111 CH Equity,600019 CH Equity,000938 CH Equity,600893 CH Equity,600570 CH Equity,600426 CH Equity,600760 CH Equity,600009 CH Equity,600547 CH Equity,000661 CH Equity,000596 CH Equity,600584 CH Equity,000776 CH Equity,600010 CH Equity,000977 CH Equity,000538 CH Equity,600745 CH Equity,600085 CH Equity,000963 CH Equity,600015 CH Equity,600196 CH Equity,600886 CH Equity,600011 CH Equity,600588 CH Equity,000157 CH Equity,600674 CH Equity,600029 CH Equity,600795 CH Equity,600845 CH Equity,600176 CH Equity,000768 CH Equity,600600 CH Equity,000301 CH Equity,000786 CH Equity,600346 CH Equity,600115 CH Equity,002001 CH Equity,000425 CH Equity,600741 CH Equity,000733 CH Equity,600188 CH Equity,000895 CH Equity,600233 CH Equity,000876 CH Equity,600732 CH Equity,002007 CH Equity,000983 CH Equity,600039 CH Equity,600332 CH Equity,600219 CH Equity,600383 CH Equity,600460 CH Equity,600132 CH Equity,601607 CH Equity,600362 CH Equity,600763 CH Equity,000723 CH Equity,000408 CH Equity,600183 CH Equity,600061 CH Equity,600875 CH Equity,000069 CH Equity,600754 CH Equity,000617 CH Equity,600803 CH Equity,600884 CH Equity,000708 CH Equity,000877 CH Equity,600606 CH Equity,000800 CH Equity,001289 CH Equity
2011-01-03,138.182,12.566,34.63,7.57,11.87,7.094,6.377,12.301,9.059,40.9,2.633,24.475,6.2,5.711,18.958,9.64,3.486,14.42,5.35,44.16,7.053,9.929,8.22,4.59,6.665,17.569,10.03,1.92,14.68,2.903,19.787,32.572,1.559,10.26,15.876,6.39,5.353,15.64,6.584,4.197,6.531,12.39,26.893,26.49,40.1,11.08,26.57,1.354,4.615,28.762,9.0,13.712,9.131,5.823,13.47,2.958,5.76,6.127,10.877,4.094,9.74,3.06,3.856,4.676,12.14,34.68,5.1,7.41,3.006,6.58,6.876,9.533,10.21,11.22,18.927,29.0,7.075,10.475,2.758,15.51,20.531,1.591,20.69,3.559,6.18,8.804,55.43,21.84,45.17,9.99,4.511,11.78,6.042,8.717,34.9,5.192,23.23,13.957,12.365,8.61,9.035,17.539,5.184,16.05,15.33
2011-01-04,139.369,12.772,34.62,7.61,12.209,6.845,6.525,12.385,9.079,40.73,2.658,23.654,6.308,5.794,18.889,9.85,3.521,14.42,5.36,44.2,7.0,10.054,8.8,4.685,6.783,17.347,10.363,1.935,15.02,2.964,20.487,32.99,1.582,10.41,16.051,6.55,5.364,15.82,6.593,4.221,6.786,12.37,27.041,26.054,40.475,11.12,27.325,1.396,4.742,28.571,9.24,13.468,9.039,5.946,13.63,2.974,5.64,6.058,10.923,4.108,10.13,3.05,3.888,4.811,12.28,35.03,5.2,7.42,3.084,6.8,6.885,9.533,10.48,11.31,19.307,29.3,7.2,10.675,2.825,15.426,21.331,1.619,21.91,3.614,6.8,8.819,53.48,21.75,45.94,10.19,4.581,12.1,6.186,8.757,35.01,5.491,23.65,14.421,12.235,8.676,9.176,18.578,5.37,16.5,15.54
2011-01-05,136.048,12.723,33.68,7.6,11.992,6.626,6.485,12.615,8.989,39.35,2.625,22.932,6.238,5.762,18.479,9.7,3.5,14.667,5.44,45.133,6.965,9.817,8.83,4.64,6.837,16.939,10.401,1.94,15.21,2.985,20.667,33.082,1.564,10.25,16.069,6.45,5.353,16.165,6.473,4.209,6.934,13.09,25.847,26.037,39.5,11.0,26.725,1.371,4.846,27.4,8.79,13.56,9.639,5.919,13.48,2.986,5.57,6.016,11.346,4.181,9.82,3.02,3.886,4.754,12.26,34.39,5.13,7.325,3.109,6.74,6.912,9.933,10.48,11.39,19.64,28.3,7.215,10.42,2.817,14.968,22.192,1.629,24.1,3.574,6.98,8.712,50.0,21.82,44.97,10.26,4.586,12.25,6.292,8.849,35.91,5.436,23.5,14.214,12.235,8.7,9.088,18.822,5.313,16.72,15.75
2011-01-06,135.417,12.654,33.45,7.6,11.926,6.493,6.147,13.071,9.019,38.66,2.658,22.368,6.215,5.718,18.514,9.68,3.493,14.347,5.34,43.853,6.925,9.94,8.84,4.58,6.815,16.888,10.293,1.958,15.02,2.964,20.887,32.13,1.627,10.31,16.473,6.46,5.255,16.21,6.408,4.288,7.286,13.17,25.536,25.226,39.65,10.9,26.74,1.371,4.656,27.752,8.88,13.24,9.556,5.871,13.31,3.024,5.56,6.079,11.023,4.147,9.58,3.02,3.879,4.77,12.34,34.47,5.18,7.18,3.084,6.7,6.808,10.203,10.41,11.25,19.247,28.647,7.205,10.0,2.817,14.612,21.762,1.681,25.23,3.603,7.11,8.523,49.9,21.78,44.98,10.41,4.506,12.32,6.345,8.855,34.8,5.466,22.89,14.607,12.356,8.462,8.953,18.783,5.342,16.61,15.47
2011-01-07,135.026,12.998,33.3,7.64,12.04,6.67,6.12,12.853,8.844,38.71,2.642,22.671,6.292,5.935,18.646,9.79,3.493,14.167,5.42,42.567,6.92,9.673,8.89,4.585,7.117,16.649,10.358,1.967,15.45,3.043,20.52,32.75,1.636,10.52,15.864,6.56,5.313,15.745,6.473,4.467,7.087,12.99,24.995,23.871,39.965,11.0,26.875,1.379,4.599,27.857,8.95,13.04,9.206,6.122,13.39,3.032,5.55,5.906,10.908,4.117,9.72,3.03,3.882,4.599,12.23,35.06,5.2,7.17,3.043,6.78,7.097,9.862,10.84,11.16,18.78,28.703,7.12,10.1,2.845,14.728,21.231,1.712,24.38,3.651,7.03,8.535,50.64,21.51,42.87,10.055,4.5,12.28,6.175,8.73,33.73,5.513,23.21,14.143,12.356,8.486,9.024,18.35,5.399,16.82,15.08
2011-01-10,130.962,12.772,32.44,7.61,11.719,6.313,5.965,12.885,8.719,38.47,2.592,21.45,6.308,5.78,18.75,9.56,3.528,13.993,5.39,42.007,6.723,8.975,8.74,4.47,7.031,16.649,10.223,1.887,15.12,2.943,19.587,34.072,1.668,10.31,15.922,6.52,5.08,15.115,6.164,4.312,6.934,12.6,25.102,22.961,37.875,10.62,25.505,1.343,4.221,27.452,8.61,12.796,8.883,6.031,12.91,2.982,5.46,5.608,10.677,4.05,9.34,3.0,3.808,4.503,11.85,33.99,5.04,7.0,3.016,6.53,7.132,9.333,10.69,10.82,18.313,28.01,7.21,10.095,2.778,14.455,21.254,1.69,22.65,3.522,6.89,8.227,49.49,20.46,41.78,9.635,4.456,12.67,6.149,8.355,33.63,5.44,21.94,13.714,11.994,8.11,8.888,17.894,5.277,16.4,14.76
2011-01-11,130.398,12.939,32.9,7.72,11.823,6.049,5.945,13.147,8.594,39.43,2.583,21.921,6.431,5.856,18.889,9.69,3.556,14.033,5.51,40.907,6.8,9.024,9.03,4.455,7.208,15.322,10.137,1.902,15.0,2.943,19.38,34.12,1.682,10.23,15.638,6.7,5.036,14.79,5.953,4.303,7.087,12.77,24.719,23.305,36.5,10.36,25.635,1.354,4.107,27.457,8.48,12.8,8.667,6.132,12.86,2.995,5.45,5.719,10.623,4.061,9.19,3.0,3.771,4.362,11.96,33.85,5.03,6.875,2.944,6.6,6.993,9.455,10.85,10.64,18.627,28.233,7.11,10.24,2.857,14.321,21.408,1.685,22.5,3.511,7.43,8.104,48.16,19.9,42.64,9.48,4.414,12.67,5.995,8.237,32.49,5.547,21.86,13.393,11.808,7.962,8.759,17.367,5.349,16.18,14.8
2011-01-12,131.082,13.017,32.76,7.7,11.955,5.982,5.833,12.994,8.564,39.19,2.6,21.714,6.431,5.932,18.771,9.76,3.576,13.96,5.51,40.333,6.788,8.612,9.07,4.705,7.257,15.204,10.213,1.935,15.48,2.943,19.187,34.091,1.682,10.45,15.684,6.83,5.069,14.515,5.953,4.4,7.066,13.09,24.582,23.07,35.97,10.41,25.585,1.4,4.238,27.295,8.47,12.852,8.528,6.271,12.94,3.04,5.48,5.769,10.585,4.186,9.47,3.03,3.778,4.349,11.98,33.39,5.06,6.885,2.975,6.68,7.192,9.533,11.09,10.66,19.113,28.033,7.09,10.075,2.865,14.353,21.192,1.675,22.62,3.548,7.49,8.242,48.87,19.7,42.03,9.43,4.411,12.4,6.09,8.276,32.49,5.726,21.85,14.736,12.198,8.028,9.029,17.867,5.471,16.96,14.87
2011-01-13,134.853,12.949,33.68,7.64,11.87,6.028,5.925,12.872,8.629,40.5,2.583,22.2,6.562,5.91,18.583,9.66,3.569,13.907,5.58,41.453,6.808,8.915,8.94,4.735,7.176,15.208,10.073,1.926,15.56,2.943,18.767,33.24,1.673,10.38,15.696,6.77,5.128,14.5,5.862,4.376,7.031,13.17,24.071,23.335,35.615,10.73,25.045,1.375,4.339,27.486,8.29,12.996,8.953,6.229,13.0,3.024,5.45,5.787,10.615,4.106,9.74,3.02,4.045,4.373,11.99,33.63,5.05,6.92,3.065,6.77,7.225,9.302,11.23,10.71,19.207,28.193,7.13,10.095,2.829,14.571,21.754,1.621,22.57,3.504,7.35,8.177,48.69,20.27,41.94,9.56,4.389,12.41,6.027,8.145,32.7,5.667,21.72,14.857,12.254,7.931,8.841,17.356,5.442,17.11,14.86
2011-01-14,135.379,12.801,33.8,7.64,11.615,6.045,5.837,12.468,8.559,41.2,2.55,21.946,6.608,5.783,18.243,9.42,3.542,13.62,5.56,40.773,6.808,8.783,9.05,4.855,7.068,15.172,9.783,1.86,15.72,2.952,18.06,33.178,1.664,10.64,14.936,6.71,4.974,13.83,5.729,4.175,6.883,13.33,23.423,23.318,35.615,10.35,23.515,1.364,4.117,27.6,8.12,12.656,9.125,6.17,12.91,3.032,5.4,5.645,10.438,4.069,9.56,3.01,3.796,4.214,11.65,33.16,4.97,6.8,3.053,6.64,7.037,9.4,10.87,10.32,18.5,28.59,6.965,10.52,2.762,14.958,21.754,1.581,21.7,3.427,7.33,7.923,46.97,19.86,38.57,9.335,4.267,12.06,5.83,7.921,31.4,5.671,21.37,14.993,12.059,7.579,8.735,16.239,5.349,16.75,14.3
