Date,RIO LN Equity,OR FP Equity,AAL LN Equity,CAT UN Equity,JPM UN Equity,CVX UN Equity,KO UN Equity,GE UN Equity,AMT UN Equity,7267 JT Equity,HPQ UN Equity,BBVA SQ Equity,AMZN UW Equity,ASML NA Equity,SAN SQ Equity,6752 JT Equity,IBM UN Equity,PHIA NA Equity,JNJ UN Equity,6758 JT Equity,MCD UN Equity,8306 JT Equity,TEF SQ Equity,MRK UN Equity,TTE FP Equity,MMM UN Equity,CS FP Equity,PFE UN Equity,PG UN Equity,RTX UN Equity,WMT UN Equity,005930 KP Equity,SGO FP Equity,5108 JT Equity,INTC UW Equity,7751 JT Equity,MSFT UW Equity,NVDA UW Equity,MC FP Equity,C UN Equity,GS UN Equity,NG/ LN Equity,ABT UN Equity,TMO UN Equity,GOOGL UW Equity,JCI UN Equity,ULVR LN Equity,INGA NA Equity,GSK LN Equity,700 HK Equity,BMY UN Equity,ABBN SE Equity,AAPL UW Equity,AZN LN Equity,NESN SE Equity,CL UN Equity,NOVN SE Equity,ROG SE Equity,SREN SE Equity,UBSG SE Equity,DGE LN Equity,HSBA LN Equity,AON UN Equity,BHP AT Equity,EMR UN Equity,VOD LN Equity,F UN Equity,BARC LN Equity,SAN FP Equity,STAN LN Equity,SU FP Equity,ALV GY Equity,RWE GY Equity,KMB UN Equity,MS UN Equity,BAYN GY Equity,DBK GY Equity,BAS GY Equity,LLY UN Equity,SIE GY Equity,EOAN GY Equity,MMC UN Equity,MUV2 GY Equity,BP/ LN Equity,DTE GY Equity,MBG GY Equity,NKE UN Equity,7203 JT Equity,PRU LN Equity,DD UN Equity,RO SE Equity
2011-01-03,4486.5,85.5,3319.99,94.15,43.58,91.94,32.61,109.6951,51.63,1071.7,19.4042,7.6,9.211,29.23,7.5114,1153.0,140.8676,22.1231,62.82,2927.0,76.6,439.0,16.8074,34.3651,40.59,86.79,12.83,16.7597,64.77,46.589,54.56,19160,39.98,1569.0,20.85,4210.0,27.98,3.96,112.07,49.0,173.05,603.273,22.8806,56.46,15.123,19.407,1963.0,7.396,1254.37,32.151,26.58,20.4679,11.776,2922.0,55.25,39.895,49.017,136.8,51.5,15.58,1185.0,651.1,45.52,37.6519,57.24,206.57,17.25,241.698,49.1223,1642.33,58.225,89.72,50.233,60.0266,28.23,53.997,33.676,60.42,35.0,82.413,20.295,27.46,114.85,465.55,9.713,43.408,21.5225,644.0,570.898,49.7697,143.0
2011-01-04,4502.0,85.04,3391.157,93.71,44.16,91.6,31.935,111.6754,51.47,1076.7,19.8083,7.6,9.25,28.3,7.5283,1172.0,141.0204,21.8933,63.35,2974.0,74.31,445.0,16.8964,34.6607,41.13,86.67,13.075,17.0536,64.95,46.666,54.77,19160,39.485,1603.0,21.14,4245.0,28.04,3.9425,109.54,49.0,173.08,619.636,23.0959,56.72,15.068,19.6787,1972.0,7.538,1284.212,32.797,26.5,20.545,11.832,2990.0,54.5,39.84,48.796,137.3,51.1,15.73,1197.0,668.1,44.99,37.8184,56.5,211.741,17.38,251.951,49.4207,1665.65,58.8,89.99,50.811,60.2854,28.47,53.436,34.476,58.8,35.03,80.86,20.392,27.73,114.15,492.9,9.67,43.643,20.9925,653.0,579.017,49.4283,143.2
2011-01-05,4476.5,84.66,3332.929,94.52,44.7,91.44,31.745,111.8554,50.76,1068.3,20.0671,7.503,9.371,27.75,7.4793,1174.0,140.4569,21.8604,63.31,2966.0,74.66,439.0,16.7531,34.8609,41.29,86.67,13.24,17.1674,64.8,46.731,54.41,18840,39.05,1589.0,20.94,4215.0,28.0,4.245,107.97,49.7,174.0,631.636,23.0959,56.52,15.242,19.6971,1955.0,7.469,1266.509,33.018,26.06,20.3425,11.929,3009.0,54.2,39.59,49.282,137.5,51.4,15.91,1204.0,689.0,45.0,37.4522,57.2,218.406,17.89,259.572,49.5699,1683.73,57.775,89.78,51.299,60.4866,28.83,53.328,35.378,57.89,34.78,79.606,20.185,27.7,113.0,499.25,9.618,44.995,21.13,659.0,582.863,49.3429,142.5
2011-01-06,4437.0,84.57,3294.111,93.54,44.48,90.69,31.515,111.3754,50.62,1081.7,20.3758,7.341,9.293,27.655,7.3238,1203.0,141.9947,21.6306,63.21,3010.0,74.21,446.0,16.7283,35.3377,41.55,86.14,13.5,17.2337,64.69,46.684,53.96,18600,38.185,1602.0,20.77,4275.0,28.8,4.8325,109.86,49.5,172.21,632.182,23.048,56.58,15.352,19.6787,1928.0,7.58,1263.98,33.184,25.84,20.2557,11.921,3026.0,53.6,39.355,49.327,137.1,52.85,16.18,1228.0,687.3,44.78,37.5604,57.06,218.905,18.22,256.801,50.0075,1674.69,57.15,91.18,51.249,60.4004,28.8,54.834,35.48,57.94,34.94,78.93,20.167,27.28,114.0,496.9,9.777,45.834,20.94,676.0,588.845,50.2819,142.9
2011-01-07,4426.5,83.7,3265.743,93.73,43.64,91.19,31.46,110.5953,50.5,1085.0,20.4711,7.156,9.275,27.93,7.1636,1191.0,141.2974,22.4562,62.6,3020.0,74.37,444.0,16.5306,35.6142,41.22,86.23,13.205,17.3854,64.5,46.643,54.08,18420,38.05,1643.0,20.66,4215.0,28.58,4.9775,107.56,49.4,170.69,628.909,23.1437,56.37,15.426,19.8583,1906.0,7.435,1252.853,32.815,25.8,20.5161,12.004,2989.0,53.7,39.165,48.796,135.6,52.6,15.89,1221.0,680.0,44.34,37.1277,56.83,217.721,18.27,254.122,49.4804,1649.47,57.575,90.83,50.791,60.3716,28.2,54.617,34.91,57.1,34.9,78.694,19.951,27.07,113.35,492.5,9.857,45.775,20.8825,691.0,582.008,49.6986,142.0
2011-01-10,4389.0,82.6,3211.497,93.39,43.4,90.41,31.53,111.0753,50.41,1085.0,20.3667,6.92,9.234,27.345,6.9713,1191.0,141.0204,22.3295,62.16,3020.0,73.56,444.0,16.3922,35.4712,40.69,87.15,12.755,17.3001,64.36,46.277,53.73,18340,37.61,1643.0,20.69,4215.0,28.21,5.16,107.2,49.1,169.76,616.363,22.938,56.14,15.37,19.8352,1897.0,7.216,1248.301,32.926,25.74,20.3811,12.223,2966.0,53.4,38.945,48.487,134.1,51.7,15.68,1207.0,672.4,44.01,36.9863,57.18,220.275,18.31,255.6,48.6399,1632.33,56.775,90.04,50.103,60.295,28.05,53.436,34.297,56.78,34.49,77.887,19.683,26.82,111.2,486.35,9.677,45.255,21.0425,691.0,574.316,50.5096,141.7
2011-01-11,4446.0,84.24,3268.232,93.95,43.6,91.83,31.345,111.7954,50.47,1088.3,20.6255,7.07,9.217,28.46,7.0891,1182.0,140.6766,22.8925,62.27,3010.0,73.9,442.0,16.5454,35.2328,41.04,87.74,12.975,17.2716,64.04,46.548,54.29,18260,39.235,1673.0,21.05,4155.0,28.13,5.0775,109.27,49.4,169.36,601.636,22.8901,56.06,15.415,19.8905,1903.0,7.35,1238.69,33.129,25.61,20.9887,12.201,3000.0,53.85,39.105,49.017,134.8,52.75,15.95,1236.0,688.7,43.95,37.1194,57.95,216.413,18.28,269.734,49.172,1619.96,57.85,89.45,50.392,60.1704,27.96,53.456,34.463,57.07,34.91,80.237,19.766,27.07,111.0,500.0,9.628,46.145,21.005,691.0,588.845,50.4954,141.4
2011-01-12,4542.5,83.94,3380.706,93.49,44.71,92.45,31.52,112.0355,50.7,1103.3,20.7208,7.769,9.204,28.715,7.7668,1174.0,142.415,22.9347,62.5,2997.0,73.61,458.0,17.1683,35.4235,41.74,88.66,13.67,17.4138,64.97,46.849,54.85,18600,41.0,1672.0,21.3,4155.0,28.54,5.84,109.09,50.8,171.67,588.0,22.7657,56.64,15.437,20.2036,1901.0,7.624,1243.243,34.382,25.95,21.4131,12.301,3014.0,53.65,39.205,49.194,137.2,54.1,16.64,1212.0,715.0,43.9,37.6103,58.21,213.049,18.71,279.525,50.9722,1660.41,57.75,92.0,51.698,61.2151,28.71,55.06,35.957,58.57,35.03,81.623,20.268,27.49,111.9,503.9,9.7,46.069,20.9325,700.0,596.11,51.0076,143.0
2011-01-13,4503.5,83.27,3394.143,94.14,44.45,92.18,31.7,111.6154,50.75,1123.3,20.7254,8.26,9.277,28.145,8.1391,1181.0,142.1475,23.2443,62.91,2976.0,72.67,464.0,17.4896,33.0778,42.0,88.04,14.3,17.2716,65.48,46.89,54.79,18440,41.89,1615.0,21.29,4240.0,28.19,5.8475,107.11,50.4,171.57,578.182,22.6653,56.54,15.432,20.6962,1897.0,7.79,1239.702,35.783,25.9,21.8086,12.346,2995.0,52.05,39.155,48.664,136.4,54.7,16.76,1224.0,713.0,43.83,38.3176,58.0,214.17,18.68,282.666,51.5192,1641.85,58.7,95.0,52.804,60.9563,28.3,54.637,36.476,58.42,34.9,80.79,20.801,27.4,112.1,503.7,9.65,46.145,20.64,707.0,593.118,50.723,143.6
2011-01-14,4436.0,82.75,3284.655,94.01,44.91,92.83,31.565,112.9356,49.85,1115.0,20.9978,8.334,9.438,29.95,8.125,1171.0,143.2746,23.2818,62.55,2941.0,74.06,457.0,17.4303,32.6392,42.4,88.1,14.54,17.3854,65.53,46.643,54.81,18660,42.355,1564.0,21.08,4185.0,28.3,5.9025,105.22,51.3,175.0,579.273,22.4356,56.65,15.62,20.8298,1894.0,7.81,1239.196,37.055,25.84,21.8761,12.446,2990.0,51.75,39.155,48.222,137.4,54.2,16.93,1225.0,709.7,44.7,38.1512,58.16,214.232,18.65,287.285,50.9225,1627.57,58.325,95.41,53.093,60.9946,28.98,54.519,36.825,57.57,34.91,79.878,20.995,27.71,112.25,499.5,9.633,46.967,21.0175,710.0,595.682,51.1214,143.1
