Date,KMB IB Equity,HCLT IB Equity,NTPC IB Equity,NEST IB Equity,BHARTI IB Equity,RELIANCE IB Equity,TCS IB Equity,ITC IB Equity,MM IB Equity,UTCEM IB Equity,TATA IB Equity,SUNP IB Equity,WPRO IB Equity,HUVR IB Equity,INFO IB Equity,MSIL IB Equity,BAF IB Equity,HDFCB IB Equity,ICICIBC IB Equity,APNT IB Equity,SBIN IB Equity,TTAN IB Equity,TTMT IB Equity,IIB IB Equity,JSTL IB Equity,LT IB Equity,AXSB IB Equity
2011-01-03,227.88,113.63,165.04,3829.15,323.87,475.67,579.78,116.23,393.53,1086.6,65.99,243.55,161.51,313.1,431.61,1427.65,68.49,239.05,207.93,287.49,282.09,184.12,258.52,264.8,119.17,879.84,273.52
2011-01-04,229.93,115.2,166.63,3894.7,320.22,485.78,571.88,118.3,390.1,1085.8,65.15,244.93,162.0,321.05,433.5,1429.25,67.53,234.34,200.75,283.79,273.36,182.89,257.34,255.65,116.91,876.09,269.48
2011-01-05,223.95,117.79,165.92,3897.55,315.35,484.58,579.03,119.93,385.53,1072.35,63.89,244.15,162.31,325.65,433.46,1415.1,67.57,230.64,194.56,286.79,269.73,182.01,253.76,248.95,114.76,857.98,262.17
2011-01-06,222.58,119.29,168.13,3842.15,318.37,489.14,587.1,119.1,384.95,1010.7,64.15,249.85,162.3,320.05,434.48,1372.85,67.01,232.69,191.46,284.63,262.52,178.7,249.14,244.35,109.93,834.44,261.48
2011-01-07,217.28,116.28,164.08,3781.85,305.26,480.52,570.8,115.0,369.3,989.7,62.0,246.08,159.7,312.25,420.81,1343.6,64.24,226.84,190.55,277.41,259.99,170.76,235.38,231.4,103.27,821.2,256.05
2011-01-10,206.73,116.06,159.17,3785.8,305.39,465.25,564.25,113.67,364.6,993.1,61.04,237.8,155.27,308.25,424.58,1327.6,62.98,215.49,184.42,267.46,254.78,164.55,233.15,223.4,98.76,792.2,251.24
2011-01-11,208.88,118.64,158.54,3788.7,305.71,457.69,549.7,113.27,367.75,1018.15,60.75,239.0,156.64,309.0,416.16,1323.7,61.66,214.65,186.04,269.19,261.18,165.26,229.6,233.45,94.35,793.56,259.53
2011-01-12,212.03,119.53,159.04,3807.8,314.09,465.04,567.75,115.57,375.53,1010.8,60.91,243.1,156.36,305.0,421.87,1318.5,62.57,220.61,194.35,272.66,266.48,178.42,240.7,242.8,99.46,782.18,262.59
2011-01-13,203.45,115.83,157.38,3784.5,311.88,458.12,562.1,115.43,369.05,1038.0,59.8,241.38,152.18,302.4,401.54,1313.1,61.96,214.21,186.8,271.44,256.06,170.79,244.51,233.95,100.22,777.2,253.84
2011-01-14,199.03,117.34,155.67,3741.7,308.86,451.75,559.35,113.5,369.53,1019.8,58.32,237.88,154.87,302.6,400.24,1275.3,61.07,205.3,183.74,272.75,250.23,170.53,233.22,228.65,96.92,759.71,240.27
