Date,RIO LN Equity,OR FP Equity,AAL LN Equity,CAT UN Equity,SYBX UR Equity,JPM UN Equity,CVX UN Equity,KO UN Equity,GE UN Equity,AMT UN Equity,7267 JT Equity,HPQ UN Equity,BBVA SQ Equity,AMZN UW Equity,ASML NA Equity,SAN SQ Equity,6752 JT Equity,IBM UN Equity,PHIA NA Equity,JNJ UN Equity,6758 JT Equity,MCD UN Equity,8306 JT Equity,TEF SQ Equity,MRK UN Equity,TTE FP Equity,MMM UN Equity,CS FP Equity,PFE UN Equity,PG UN Equity,GOOG UW Equity,RTX UN Equity,WMT UN Equity,005930 KP Equity,SGO FP Equity,5108 JT Equity,INTC UW Equity,7751 JT Equity,MSFT UW Equity,3382 JT Equity,NVDA UW Equity,MC FP Equity,C UN Equity,GS UN Equity,NG/ LN Equity,ABT UN Equity,TXN UW Equity,TMO UN Equity,GOOGL UW Equity,SHEL LN Equity,JCI UN Equity,ULVR LN Equity,INGA NA Equity,GSK LN Equity,PM UN Equity,700 HK Equity,BMY UN Equity,ABBN SE Equity,AAPL UW Equity,AZN LN Equity,MA UN Equity,AVGO UW Equity,NESN SE Equity,CL UN Equity,NOVN SE Equity,ROG SE Equity,SREN SE Equity,UBSG SE Equity,DGE LN Equity,ENGI FP Equity,HSBA LN Equity,AON UN Equity,BHP AT Equity,EMR UN Equity,VOD LN Equity,F UN Equity,BARC LN Equity,SAN FP Equity,STAN LN Equity,PEP UW Equity,SU FP Equity,ALV GY Equity,RWE GY Equity,KMB UN Equity,MS UN Equity,BAYN GY Equity,DBK GY Equity,BAS GY Equity,LLY UN Equity,SIE GY Equity,EOAN GY Equity,HON UW Equity,MMC UN Equity,MUV2 GY Equity,BP/ LN Equity,DTE GY Equity,MBG GY Equity,NKE UN Equity,7203 JT Equity,PRU LN Equity,DD UN Equity,RO SE Equity
03-01-2005,1266.417,56.45,1262.77,47.535,#N/A N/A,39.15,50.9,20.77,219.5703,18.16,885,9.5568,12.6145,2.222,11.86,8.0851,1626,93.3673,18.5298,62.9,3960,31.82,1040,13.8513,29.8072,39.6242,82.4,17.6352,25.0733,55.19,#N/A N/A,30.375,53.35,9020,41.1731,2040,23.09,3686.7,26.74,#N/A N/A,1.9675,51.01,482.7,104.95,554.438,22.3303,#N/A N/A,29.68,5.073,#N/A N/A,25.5943,1136.667,17.2773,1236.161,#N/A N/A,0.857,25.43,6.2793,1.131,1889,#N/A N/A,#N/A N/A,30.1,25.01,51.271,131.5,82.5,43.177,743,#N/A N/A,765.992,23.58,12.7642,34.35,201.124,14.71,527.173,58.9786,777.36,#N/A N/A,25.6879,97.39,40.964,61.8668,46.4034,23.138,51.079,26.68,56.25,55.214,19.724,#N/A N/A,32.9,91.55,508,16.71,29.952,11.3363,834,387.151,70.372,149.9
04-01-2005,1224.286,56.9,1242.27,47.01,#N/A N/A,38.41,50.55,20.48,216.93,17.92,883.3,9.4933,12.5473,2.107,11.64,8.0851,1629,92.3644,18.2483,62.7,3990,32.08,1050,13.8711,29.6833,39.4762,81.73,17.5489,25.0733,54.5,#N/A N/A,30.025,53.22,8940,41.8454,2030,22.52,3706.7,26.84,#N/A N/A,1.8725,50.74,478.6,104.27,558.071,22.1055,#N/A N/A,29.31,4.855,#N/A N/A,25.746,1153.889,17.2773,1253.358,#N/A N/A,0.88,25.15,6.3854,1.142,1910,#N/A N/A,#N/A N/A,30.125,24.835,51.05,131.7,82.4,43.222,753,#N/A N/A,784.292,23.36,12.5978,33.95,203.616,14.66,533.92,58.7797,786.59,#N/A N/A,26.1828,97.8,41.003,61.8955,45.9054,22.806,50.854,26.585,55.5,54.907,19.6,#N/A N/A,33,92.52,505,16.84,30.262,11.175,840,393.133,68.8496,149.5
05-01-2005,1216.025,56.95,1243.295,46.11,#N/A N/A,38.49,50.88,20.385,215.6098,17.76,885,9.5341,12.48,2.089,11.31,7.9708,1615,92.1733,17.8824,62.66,3990,31.83,1030,13.7524,29.8835,39.1061,80.73,17.3189,24.9026,55.07,#N/A N/A,29.8,53.29,8860,41.1004,1997,22.38,3693.3,26.78,#N/A N/A,1.89,49.97,484.6,103.8,560.307,21.8519,#N/A N/A,29.23,4.842,#N/A N/A,25.6304,1144.444,17.1467,1243.243,#N/A N/A,0.866,24.79,6.3757,1.152,1913,#N/A N/A,#N/A N/A,29.9,24.275,50.432,131,82.4,42.711,744.5,#N/A N/A,776.014,22.73,12.473,33.645,202.192,14.43,530.772,57.9343,778.97,#N/A N/A,26.1086,96.43,42.189,60.8317,45.6397,22.225,50.194,26.34,56.08,54.108,19.624,#N/A N/A,32.7,91.02,504,16.7,30.153,11.0413,830,390.356,68.1524,149.5
06-01-2005,1230.895,57.3,1264.82,46.79,#N/A N/A,38.69,51.73,20.55,217.35,17.92,895,9.516,12.48,2.052,11.29,7.9708,1603,91.8868,17.873,62.84,3960,32.08,1050,13.7524,30.0647,39.4022,81.46,17.4435,24.9216,55.34,#N/A N/A,29.818,54.05,8700,41.3094,2020,22.46,3680,26.75,#N/A N/A,1.8717,50.15,489.3,105.23,556.674,22.3447,#N/A N/A,29.25,4.715,#N/A N/A,26.2659,1138.889,17.331,1248.301,#N/A N/A,0.866,24.75,6.4047,1.153,1938,#N/A N/A,#N/A N/A,30.05,24.865,50.52,131.1,84.25,42.844,744,#N/A N/A,774.707,23.31,12.5063,33.865,202.192,14.45,528.523,57.3375,767.73,#N/A N/A,26.5293,97.4,42.827,61.8189,46.7189,22.234,51.794,26.33,56.53,54.617,19.721,#N/A N/A,31.68,92.89,509,16.71,30.313,11.0275,838,396.552,68.9349,148.9
07-01-2005,1222.634,57.85,1254.57,46.69,#N/A N/A,38.4,51.15,20.58,216.0298,18.24,896.7,9.4615,12.6049,2.116,11.24,7.9357,1591,91.4856,17.8261,62.61,4020,31.87,1040,13.8315,29.6833,39.5255,82.3,17.5681,24.9311,55.92,#N/A N/A,29.497,53.99,8810,41.2458,2025,22.8,3686.7,26.67,#N/A N/A,1.8358,50.51,486.5,104.78,557.233,22.7275,#N/A N/A,28.82,4.851,#N/A N/A,25.9987,1132.222,17.3156,1264.486,#N/A N/A,0.876,24.74,6.4432,1.237,1938,#N/A N/A,#N/A N/A,30.1,25.04,50.211,131.2,83.55,42.577,750,#N/A N/A,770.785,22.83,12.6477,33.565,205.751,14.65,537.069,57.5365,764.92,#N/A N/A,26.9747,97.48,43.306,61.4738,46.5362,22.17,52.097,26.445,56.26,54.898,19.876,#N/A N/A,31.26,93.6,509,16.78,30.161,10.9625,830,397.834,68.2804,149.5
10-01-2005,1230.069,57.6,1251.495,46.26,#N/A N/A,38.27,51.38,20.695,215.4898,18.78,896.7,9.4479,12.5377,2.092,11.4,7.9181,1591,91.3901,17.7792,63.1,4020,31.67,1040,13.7228,30.0361,39.5996,83.94,17.9994,25.0638,56.36,#N/A N/A,29.414,53.72,8760,40.9641,2025,22.89,3686.7,26.81,#N/A N/A,1.84,50.2,483.3,104.98,553.041,22.9476,#N/A N/A,28.9,4.881,#N/A N/A,25.7315,1125.556,17.3924,1250.324,#N/A N/A,0.894,24.98,6.5204,1.232,1932,#N/A N/A,#N/A N/A,30.075,25.27,50.034,131,84.25,42.622,739.5,#N/A N/A,768.607,23.08,12.6727,33.645,204.327,14.55,542.916,57.8348,745.26,#N/A N/A,26.9005,97.27,43.156,61.8764,46.5279,22.244,52.074,26.26,56.94,54.845,19.774,#N/A N/A,31.16,94,510,16.5,30.077,11.0712,830,400.825,69.2906,150.3
11-01-2005,1245.765,57.05,1253.545,45.62,#N/A N/A,37.9,51.4,20.58,212.4293,18.71,900,9.1028,12.3935,2.082,11.19,7.9269,1621,90.7406,17.479,62.88,4060,31.1,1040,13.525,29.7214,39.5749,84.71,17.8269,24.7889,56.3,#N/A N/A,29.538,53.59,8840,40.737,2035,22.54,3693.3,26.73,#N/A N/A,1.7833,49.57,482.2,104.17,554.159,22.5265,#N/A N/A,28.85,4.843,#N/A N/A,25.5726,1128.889,17.2235,1237.173,#N/A N/A,0.88,24.6,6.4915,1.152,1933,#N/A N/A,#N/A N/A,30.275,25.225,50.078,128,84.35,42.355,736.5,#N/A N/A,762.942,22.85,12.656,33.92,202.904,14.43,535.27,57.5365,752.48,#N/A N/A,26.8015,95.6,43.047,61.4163,46.0299,22.032,51.468,25.915,57.03,54.275,19.641,#N/A N/A,30.74,92,508,16.26,29.792,11.0188,840,395.27,67.8678,146
12-01-2005,1247.417,56.2,1253.545,46.185,#N/A N/A,37.99,52.49,20.58,214.1096,18.54,898.3,9.0983,12.2494,2.115,11.36,7.9093,1597,90.9412,17.3851,63.32,4030,31.34,1020,13.446,29.6356,39.1555,84.96,17.4531,24.6751,56.51,#N/A N/A,30.063,54.08,8840,40.6916,2025,23.16,3613.3,26.78,#N/A N/A,1.7683,48.67,480.7,103.27,554.997,22.4547,#N/A N/A,28.9,4.889,#N/A N/A,25.8832,1118.889,16.9701,1210.872,#N/A N/A,0.876,24.66,6.4818,1.169,1924,#N/A N/A,#N/A N/A,30.8,25.105,49.327,126.8,83.15,41.777,728,#N/A N/A,758.149,23.03,12.7476,33.8,200.056,14.32,531.222,57.0889,752.08,#N/A N/A,26.6035,94.38,42.409,61.9243,45.8888,21.672,50.567,25.67,57.78,53.854,19.462,#N/A N/A,30.9,91,506.5,16.05,29.364,11.0738,830,386.51,68.7926,146.6
13-01-2005,1251.548,56.1,1248.42,46.43,#N/A N/A,37.77,52.06,20.37,211.4092,18.4,893.3,9.0574,12.3263,2.13,11.49,7.9884,1591,90.2152,17.432,61.97,4020,30.89,1010,13.5448,29.2256,39.4269,83.79,17.3668,24.0115,55.53,#N/A N/A,29.668,53.64,8880,40.9823,2005,22.82,3546.7,26.27,#N/A N/A,1.7867,49.12,476,102.94,557.792,22.0241,#N/A N/A,28.56,4.885,#N/A N/A,25.6015,1122.222,16.9624,1214.918,#N/A N/A,0.862,24.4,6.5879,1.246,1920,#N/A N/A,#N/A N/A,30.85,24.95,49.769,127,83.5,41.577,729,#N/A N/A,761.199,22.72,12.7476,33.395,198.276,14.08,530.772,57.8846,750.47,#N/A N/A,27.8409,95.01,42.887,60.9371,46.0714,21.746,50.567,25.865,56.42,53.573,19.322,#N/A N/A,30.37,89.66,513.5,16.19,29.146,11.0025,824,389.501,68.8638,145.2
14-01-2005,1280.461,56.25,1269.944,46.845,#N/A N/A,37.81,52.3,20.485,213.1494,18.66,903.3,9.1119,12.2783,2.228,11.71,7.9884,1584,89.8809,17.5071,62.7,4030,31.31,1010,13.4361,29.4353,39.7723,83.97,17.4243,23.9357,55.88,#N/A N/A,29.768,53.99,9430,41.7454,2025,23.01,3620,26.13,#N/A N/A,1.7925,49.39,475,104.22,560.866,22.1294,#N/A N/A,29.24,5.004,#N/A N/A,25.6954,1127.778,16.9317,1219.976,#N/A N/A,0.876,24.43,6.6844,1.254,1893,#N/A N/A,#N/A N/A,30.85,25.04,50.432,127.7,84.05,41.977,740,#N/A N/A,763.814,22.9,12.8058,33.905,198.276,14.06,534.82,57.437,752.08,#N/A N/A,27.9399,95.14,43.655,61.6943,46.5445,21.949,51.856,26.03,57.25,53.503,19.439,#N/A N/A,31.51,89.91,516.5,16.1,29.381,11.1188,830,384.159,70.8415,147.8
