Date,Stock,Order,Price
2011-04-07,TECHM.NS,Buy,146.58499145507812
2011-04-07,SUNPHARMA.NS,Sell,201.8846740722656
2011-05-26,SUNPHARMA.NS,Buy,201.6330413818359
2011-05-26,TCS.NS,Sell,438.49468994140625
2011-06-24,INFY.NS,Buy,272.19171142578125
2011-06-24,SUNPHARMA.NS,Sell,224.18917846679688
2011-12-19,TECHM.NS,Buy,111.93924713134766
2011-12-19,TCS.NS,Sell,446.9678649902344
2011-12-23,TATAMOTORS.NS,Buy,177.14781188964844
2011-12-23,INFY.NS,Sell,257.88720703125
2012-01-23,WIPRO.NS,Buy,139.4142608642578
2012-01-23,TECHM.NS,Sell,117.74239349365234
2012-04-13,SUNPHARMA.NS,Buy,269.75799560546875
2012-04-13,WIPRO.NS,Sell,141.26727294921875
2012-05-02,INFY.NS,Buy,236.5701141357422
2012-05-02,TATAMOTORS.NS,Sell,291.654541015625
2012-10-05,TATAMOTORS.NS,Buy,273.5588073730469
2012-10-05,HCLTECH.NS,Sell,108.87618255615234
2012-10-18,HCLTECH.NS,Buy,114.08696746826172
2012-10-18,SUNPHARMA.NS,Sell,324.496826171875
2013-04-04,SUNPHARMA.NS,Buy,398.7582092285156
2013-04-04,INFY.NS,Sell,278.5621643066406
2013-06-07,TCS.NS,Buy,608.7313842773438
2013-06-07,TATAMOTORS.NS,Sell,294.3767395019531
2014-02-19,INFY.NS,Buy,369.4513244628906
2014-02-19,HCLTECH.NS,Sell,289.9814147949219
2014-04-04,SUNPHARMA.NS,Buy,532.7110595703125
2014-04-04,TECHM.NS,Sell,359.3999938964844
2014-05-29,TCS.NS,Buy,870.8529663085938
2014-05-29,INFY.NS,Sell,291.81610107421875
2014-08-21,TECHM.NS,Buy,447.3854675292969
2014-08-21,INFY.NS,Sell,354.125732421875
2014-10-10,INFY.NS,Buy,388.0220642089844
2014-10-10,WIPRO.NS,Sell,205.85610961914065
2014-12-23,TCS.NS,Buy,1042.4989013671875
2014-12-23,HCLTECH.NS,Sell,302.69708251953125
2015-10-01,SUNPHARMA.NS,Buy,831.541748046875
2015-10-01,HCLTECH.NS,Sell,342.2556457519531
2016-01-05,TECHM.NS,Buy,422.6170654296875
2016-01-05,TATAMOTORS.NS,Sell,373.1354675292969
2016-04-01,HCLTECH.NS,Buy,331.9033508300781
2016-04-01,TECHM.NS,Sell,375.0028076171875
2016-04-20,INFY.NS,Buy,512.4456176757812
2016-04-20,TCS.NS,Sell,1033.4412841796875
2016-06-15,SUNPHARMA.NS,Buy,703.783447265625
2016-06-15,TATAMOTORS.NS,Sell,450.5128784179687
2016-12-07,TATAMOTORS.NS,Buy,443.96630859375
2016-12-07,TECHM.NS,Sell,373.3722229003906
2017-09-13,HCLTECH.NS,Buy,366.814208984375
2017-09-13,WIPRO.NS,Sell,216.04312133789065
2017-11-06,WIPRO.NS,Buy,218.92710876464844
2017-11-06,SUNPHARMA.NS,Sell,510.830322265625
2019-01-18,TCS.NS,Buy,1688.7808837890625
2019-01-18,SUNPHARMA.NS,Sell,369.93505859375
2019-04-02,TATAMOTORS.NS,Buy,202.3194274902344
2019-04-02,SUNPHARMA.NS,Sell,444.6794128417969
2019-07-24,HCLTECH.NS,Buy,436.1856689453125
2019-07-24,TATAMOTORS.NS,Sell,150.78005981445312
2020-01-16,TCS.NS,Buy,2050.0908203125
2020-01-16,WIPRO.NS,Sell,245.2987365722656
2020-11-14,INFY.NS,Buy,1059.8143310546875
2020-11-14,TECHM.NS,Sell,766.8203125
2021-04-16,TATAMOTORS.NS,Buy,309.0368347167969
2021-04-16,TCS.NS,Sell,2987.56201171875
2022-04-05,HCLTECH.NS,Buy,1078.69384765625
2022-04-05,INFY.NS,Sell,1774.5587158203125
2022-10-13,TATAMOTORS.NS,Buy,397.76031494140625
2022-10-13,WIPRO.NS,Sell,377.36376953125
2023-12-29,TATAMOTORS.NS,Sell,779.9500122070312
2023-12-29,WIPRO.NS,Buy,470.2969970703125
2023-12-29,HCLTECH.NS,Sell,1435.6038818359375
2023-12-29,INFY.NS,Buy,1542.9000244140625
2023-12-29,TATAMOTORS.NS,Sell,779.9500122070312
2023-12-29,TCS.NS,Buy,3748.65771484375
2023-12-29,INFY.NS,Sell,1542.9000244140625
2023-12-29,TECHM.NS,Buy,1272.6500244140625
2023-12-29,TCS.NS,Sell,3748.65771484375
2023-12-29,WIPRO.NS,Buy,470.2969970703125
2023-12-29,HCLTECH.NS,Sell,1435.6038818359375
2023-12-29,TATAMOTORS.NS,Buy,779.9500122070312
2023-12-29,TATAMOTORS.NS,Sell,779.9500122070312
2023-12-29,SUNPHARMA.NS,Buy,1252.3111572265625
2023-12-29,TCS.NS,Sell,3748.65771484375
2023-12-29,SUNPHARMA.NS,Buy,1252.3111572265625
2023-12-29,WIPRO.NS,Sell,470.2969970703125
2023-12-29,SUNPHARMA.NS,Buy,1252.3111572265625
2023-12-29,HCLTECH.NS,Sell,1435.6038818359375
2023-12-29,WIPRO.NS,Buy,470.2969970703125
2023-12-29,TATAMOTORS.NS,Sell,779.9500122070312
2023-12-29,TECHM.NS,Buy,1272.6500244140625
2023-12-29,SUNPHARMA.NS,Sell,1252.3111572265625
2023-12-29,TATAMOTORS.NS,Buy,779.9500122070312
2023-12-29,INFY.NS,Sell,1542.9000244140625
2023-12-29,TCS.NS,Buy,3748.65771484375
2023-12-29,HCLTECH.NS,Sell,1435.6038818359375
2023-12-29,TECHM.NS,Buy,1272.6500244140625
2023-12-29,TECHM.NS,Sell,1272.6500244140625
2023-12-29,TATAMOTORS.NS,Buy,779.9500122070312
2023-12-29,SUNPHARMA.NS,Sell,1252.3111572265625
2023-12-29,HCLTECH.NS,Buy,1435.6038818359375
2023-12-29,TCS.NS,Sell,3748.65771484375
2023-12-29,HCLTECH.NS,Buy,1435.6038818359375
2023-12-29,INFY.NS,Sell,1542.9000244140625
2023-12-29,WIPRO.NS,Buy,470.2969970703125
2023-12-29,TECHM.NS,Sell,1272.6500244140625
2023-12-29,INFY.NS,Buy,1542.9000244140625
2023-12-29,TCS.NS,Sell,3748.65771484375
2023-12-29,INFY.NS,Buy,1542.9000244140625
2023-12-29,SUNPHARMA.NS,Sell,1252.3111572265625
2023-12-29,TECHM.NS,Buy,1272.6500244140625
2023-12-29,INFY.NS,Sell,1542.9000244140625
2023-12-29,HCLTECH.NS,Buy,1435.6038818359375
2023-12-29,TCS.NS,Sell,3748.65771484375
2023-12-29,TATAMOTORS.NS,Buy,779.9500122070312
2023-12-29,SUNPHARMA.NS,Sell,1252.3111572265625
2023-12-29,INFY.NS,Buy,1542.9000244140625
2023-12-29,HCLTECH.NS,Sell,1435.6038818359375
2023-12-29,SUNPHARMA.NS,Buy,1252.3111572265625
2023-12-29,TATAMOTORS.NS,Sell,779.9500122070312
2023-12-29,HCLTECH.NS,Buy,1435.6038818359375
2023-12-29,INFY.NS,Sell,1542.9000244140625
2023-12-29,TATAMOTORS.NS,Buy,779.9500122070312
2023-12-29,SUNPHARMA.NS,Sell,1252.3111572265625
2023-12-29,WIPRO.NS,Buy,470.2969970703125
2023-12-29,WIPRO.NS,Sell,470.2969970703125
2023-12-29,TECHM.NS,Buy,1272.6500244140625
2023-12-29,TATAMOTORS.NS,Sell,779.9500122070312
2023-12-29,INFY.NS,Buy,1542.9000244140625
2023-12-29,TECHM.NS,Sell,1272.6500244140625
2023-12-29,TCS.NS,Buy,3748.65771484375
2023-12-29,INFY.NS,Sell,1542.9000244140625
2023-12-29,SUNPHARMA.NS,Buy,1252.3111572265625
2023-12-29,SUNPHARMA.NS,Sell,1252.3111572265625
2023-12-29,TCS.NS,Buy,3748.65771484375
2023-12-29,TECHM.NS,Sell,1272.6500244140625
2023-12-29,SUNPHARMA.NS,Buy,1252.3111572265625
2011-10-13,SBIN.NS,Buy,165.62261962890625
2011-10-13,MARUTI.NS,Sell,963.9857177734376
2012-07-19,AXISBANK.NS,Buy,199.98309326171875
2012-07-19,MARUTI.NS,Sell,1017.775634765625
2012-09-12,ICICIBANK.NS,Buy,153.42929077148438
2012-09-12,POWERGRID.NS,Sell,43.805809020996094
2013-01-15,AXISBANK.NS,Buy,269.4630432128906
2013-01-15,SBIN.NS,Sell,222.47743225097656
2013-01-15,ICICIBANK.NS,Buy,194.69241333007812
2013-01-15,MARUTI.NS,Sell,1417.2596435546875
2013-01-18,POWERGRID.NS,Buy,41.4783935546875
2013-01-18,AXISBANK.NS,Sell,262.6048889160156
2013-04-04,MARUTI.NS,Buy,1201.9202880859375
2013-04-04,ICICIBANK.NS,Sell,163.08026123046875
2014-01-07,MARUTI.NS,Buy,1701.912841796875
2014-01-07,POWERGRID.NS,Sell,36.635738372802734
2014-02-12,SBIN.NS,Buy,139.61441040039062
2014-02-12,POWERGRID.NS,Sell,35.48624038696289
2014-02-13,ICICIBANK.NS,Buy,161.6678924560547
2014-02-13,AXISBANK.NS,Sell,211.4007873535156
2014-04-25,AXISBANK.NS,Buy,294.15704345703125
2014-04-25,ICICIBANK.NS,Sell,208.82379150390625
2015-05-14,SBIN.NS,Buy,259.73394775390625
2015-05-14,ICICIBANK.NS,Sell,267.1606140136719
2015-05-22,POWERGRID.NS,Buy,53.742698669433594
2015-05-22,ICICIBANK.NS,Sell,266.0155029296875
2016-10-27,MARUTI.NS,Buy,5497.4384765625
2016-10-27,SBIN.NS,Sell,242.23448181152344
2017-07-31,MARUTI.NS,Buy,7270.36376953125
2017-07-31,AXISBANK.NS,Sell,517.8377075195312
2018-10-23,POWERGRID.NS,Buy,78.25752258300781
2018-10-23,SBIN.NS,Sell,244.6643829345703
2019-09-18,POWERGRID.NS,Buy,86.38484954833984
2019-09-18,MARUTI.NS,Sell,5907.587890625
2023-12-29,POWERGRID.NS,Sell,233.2993927001953
2023-12-29,MARUTI.NS,Buy,10302.349609375
2023-12-29,POWERGRID.NS,Sell,233.2993927001953
2023-12-29,SBIN.NS,Buy,642.0499877929688
2023-12-29,MARUTI.NS,Sell,10302.349609375
2023-12-29,AXISBANK.NS,Buy,1102.300048828125
2023-12-29,MARUTI.NS,Sell,10302.349609375
2023-12-29,SBIN.NS,Buy,642.0499877929688
2023-12-29,POWERGRID.NS,Sell,233.2993927001953
2023-12-29,ICICIBANK.NS,Buy,996.5999755859376
2023-12-29,SBIN.NS,Sell,642.0499877929688
2023-12-29,ICICIBANK.NS,Buy,996.5999755859376
2023-12-29,AXISBANK.NS,Sell,1102.300048828125
2023-12-29,ICICIBANK.NS,Buy,996.5999755859376
2023-12-29,ICICIBANK.NS,Sell,996.5999755859376
2023-12-29,AXISBANK.NS,Buy,1102.300048828125
2023-12-29,SBIN.NS,Sell,642.0499877929688
2023-12-29,POWERGRID.NS,Buy,233.2993927001953
2023-12-29,MARUTI.NS,Sell,10302.349609375
2023-12-29,POWERGRID.NS,Buy,233.2993927001953
2023-12-29,MARUTI.NS,Sell,10302.349609375
2023-12-29,ICICIBANK.NS,Buy,996.5999755859376
2023-12-29,POWERGRID.NS,Sell,233.2993927001953
2023-12-29,AXISBANK.NS,Buy,1102.300048828125
2023-12-29,ICICIBANK.NS,Sell,996.5999755859376
2023-12-29,MARUTI.NS,Buy,10302.349609375
2023-12-29,AXISBANK.NS,Sell,1102.300048828125
2023-12-29,SBIN.NS,Buy,642.0499877929688
2023-12-29,ICICIBANK.NS,Sell,996.5999755859376
2023-12-29,POWERGRID.NS,Buy,233.2993927001953
2023-12-29,AXISBANK.NS,Sell,1102.300048828125
2023-12-29,MARUTI.NS,Buy,10302.349609375
2023-12-29,SBIN.NS,Sell,642.0499877929688
2023-12-29,MARUTI.NS,Buy,10302.349609375
2011-02-11,NESTLEIND.NS,Buy,276.8858642578125
2011-02-11,INDUSINDBK.NS,Sell,196.7628631591797
2011-04-28,BAJAJFINSV.NS,Buy,53.139671325683594
2011-04-28,ITC.NS,Sell,92.6820297241211
2011-05-18,TITAN.NS,Buy,190.6410675048828
2011-05-18,NESTLEIND.NS,Sell,353.8222961425781
2011-05-27,HDFCBANK.NS,Buy,206.48782348632812
2011-05-27,HINDUNILVR.NS,Sell,241.4751892089844
2011-06-08,ULTRACEMCO.NS,Buy,979.7068481445312
2011-06-08,HINDUNILVR.NS,Sell,250.63197326660156
2011-06-17,HINDUNILVR.NS,Buy,256.6298828125
2011-06-17,ULTRACEMCO.NS,Sell,916.519775390625
2011-06-20,TITAN.NS,Buy,215.85992431640625
2011-06-20,BAJAJFINSV.NS,Sell,49.76180267333984
2011-08-02,TITAN.NS,Buy,214.9439239501953
2011-08-02,ITC.NS,Sell,99.7580795288086
2012-01-04,INDUSINDBK.NS,Buy,227.1124267578125
2012-01-04,ULTRACEMCO.NS,Sell,1091.9632568359375
2012-03-07,HINDUNILVR.NS,Buy,314.01043701171875
2012-03-07,NESTLEIND.NS,Sell,385.220947265625
2012-05-03,TITAN.NS,Buy,231.47804260253903
2012-05-03,KOTAKBANK.NS,Sell,288.80279541015625
2012-05-04,HINDUNILVR.NS,Buy,354.7094421386719
2012-05-04,BAJAJFINSV.NS,Sell,68.2793960571289
2012-05-18,NESTLEIND.NS,Buy,410.5056762695313
2012-05-18,ASIANPAINT.NS,Sell,337.08074951171875
2012-05-31,ASIANPAINT.NS,Buy,366.2709655761719
2012-05-31,INDUSINDBK.NS,Sell,278.71832275390625
2012-06-14,NESTLEIND.NS,Buy,396.670166015625
2012-06-14,BAJAJFINSV.NS,Sell,62.85784912109375
2012-06-27,BAJAJFINSV.NS,Buy,62.566368103027344
2012-06-27,KOTAKBANK.NS,Sell,283.1225280761719
2012-08-01,ITC.NS,Buy,128.63400268554688
2012-08-01,TITAN.NS,Sell,209.96153259277344
2012-08-02,ASIANPAINT.NS,Buy,335.223388671875
2012-08-02,NESTLEIND.NS,Sell,385.857177734375
2012-08-03,TITAN.NS,Buy,216.30535888671875
2012-08-03,ULTRACEMCO.NS,Sell,1566.0333251953125
2012-08-29,ITC.NS,Buy,133.74859619140625
2012-08-29,ULTRACEMCO.NS,Sell,1649.8692626953125
2012-10-04,HINDUNILVR.NS,Buy,457.2159729003906
2012-10-04,ASIANPAINT.NS,Sell,355.6693115234375
2012-10-29,HDFCBANK.NS,Buy,291.37225341796875
2012-10-29,BAJAJFINSV.NS,Sell,85.07450103759766
2012-11-15,BAJFINANCE.NS,Buy,127.47373962402344
2012-11-15,NESTLEIND.NS,Sell,413.9380187988281
2012-12-20,ASIANPAINT.NS,Buy,409.0163269042969
2012-12-20,BAJAJFINSV.NS,Sell,90.76332092285156
2012-12-24,HINDUNILVR.NS,Buy,444.1271667480469
2012-12-24,INDUSINDBK.NS,Sell,399.4153747558594
2012-12-27,BAJFINANCE.NS,Buy,124.45417022705078
2012-12-27,ULTRACEMCO.NS,Sell,1889.4283447265625
2013-01-18,TITAN.NS,Buy,259.67059326171875
2013-01-18,BAJFINANCE.NS,Sell,127.61799621582033
2013-02-06,ULTRACEMCO.NS,Buy,1885.5855712890625
2013-02-06,INDUSINDBK.NS,Sell,403.739501953125
2013-02-11,HDFCBANK.NS,Buy,298.8089599609375
2013-02-11,NESTLEIND.NS,Sell,405.32025146484375
2013-02-13,INDUSINDBK.NS,Buy,414.220703125
2013-02-13,KOTAKBANK.NS,Sell,331.6000061035156
2013-02-21,BAJAJFINSV.NS,Buy,82.38868713378906
2013-02-21,INDUSINDBK.NS,Sell,402.4234924316406
2013-02-22,NESTLEIND.NS,Buy,407.481201171875
2013-02-22,BAJFINANCE.NS,Sell,118.67018127441406
2013-03-11,HDFCBANK.NS,Buy,298.0357360839844
2013-03-11,TITAN.NS,Sell,237.5618896484375
2013-03-14,BAJFINANCE.NS,Buy,121.29442596435548
2013-03-14,BAJAJFINSV.NS,Sell,78.83563232421875
2013-04-02,HDFCBANK.NS,Buy,286.5054016113281
2013-04-02,ASIANPAINT.NS,Sell,450.0771789550781
2013-04-15,ULTRACEMCO.NS,Buy,1798.8309326171875
2013-04-15,TITAN.NS,Sell,226.6259307861328
2013-05-14,ASIANPAINT.NS,Buy,437.0682067871094
2013-05-14,HDFCBANK.NS,Sell,313.4093933105469
2013-07-23,KOTAKBANK.NS,Buy,362.9260559082031
2013-07-23,ULTRACEMCO.NS,Sell,1844.211669921875
2013-10-03,BAJFINANCE.NS,Buy,116.62378692626952
2013-10-03,ITC.NS,Sell,170.7399139404297
2013-11-06,BAJAJFINSV.NS,Buy,66.3949966430664
2013-11-06,HDFCBANK.NS,Sell,306.78564453125
2013-12-05,BAJFINANCE.NS,Buy,140.57676696777344
2013-12-05,HINDUNILVR.NS,Sell,481.2789916992187
2013-12-09,ULTRACEMCO.NS,Buy,1861.4410400390625
2013-12-09,BAJAJFINSV.NS,Sell,72.37039947509766
2014-01-10,ITC.NS,Buy,162.599853515625
2014-01-10,BAJAJFINSV.NS,Sell,72.67339324951172
2014-01-15,INDUSINDBK.NS,Buy,401.96380615234375
2014-01-15,NESTLEIND.NS,Sell,465.324462890625
2014-04-01,TITAN.NS,Buy,253.15980529785156
2014-04-01,HDFCBANK.NS,Sell,338.5236511230469
2014-04-11,KOTAKBANK.NS,Buy,400.4812927246094
2014-04-11,BAJFINANCE.NS,Sell,170.59909057617188
2014-04-21,BAJAJFINSV.NS,Buy,78.78290557861328
2014-04-21,HINDUNILVR.NS,Sell,510.01025390625
2014-05-13,ULTRACEMCO.NS,Buy,2143.33544921875
2014-05-13,BAJFINANCE.NS,Sell,181.96815490722656
2014-05-30,HINDUNILVR.NS,Buy,513.6282348632812
2014-05-30,TITAN.NS,Sell,295.981689453125
2014-06-11,KOTAKBANK.NS,Buy,461.5738220214844
2014-06-11,TITAN.NS,Sell,314.02703857421875
2014-06-12,HDFCBANK.NS,Buy,388.4485778808594
2014-06-12,BAJFINANCE.NS,Sell,199.45492553710935
2014-09-22,INDUSINDBK.NS,Buy,611.783447265625
2014-09-22,ASIANPAINT.NS,Sell,613.1406860351562
2015-01-13,INDUSINDBK.NS,Buy,785.9734497070312
2015-01-13,TITAN.NS,Sell,357.7018737792969
2015-03-02,ULTRACEMCO.NS,Buy,3264.606689453125
2015-03-02,ITC.NS,Sell,176.14747619628906
2015-03-17,ASIANPAINT.NS,Buy,780.9501953125
2015-03-17,HINDUNILVR.NS,Sell,809.2750244140625
2015-08-17,KOTAKBANK.NS,Buy,716.753173828125
2015-08-17,BAJAJFINSV.NS,Sell,193.5464782714844
2015-11-16,TITAN.NS,Buy,347.9712219238281
2015-11-16,HINDUNILVR.NS,Sell,693.92236328125
2015-11-23,NESTLEIND.NS,Buy,552.1837158203125
2015-11-23,ITC.NS,Sell,176.5308837890625
2015-11-24,ULTRACEMCO.NS,Buy,2699.630859375
2015-11-24,NESTLEIND.NS,Sell,544.5188598632812
2015-12-31,BAJAJFINSV.NS,Buy,198.03944396972656
2015-12-31,ASIANPAINT.NS,Sell,836.9060668945312
2016-02-03,BAJFINANCE.NS,Buy,624.447509765625
2016-02-03,KOTAKBANK.NS,Sell,662.7328491210938
2016-04-12,INDUSINDBK.NS,Buy,926.4490356445312
2016-04-12,HDFCBANK.NS,Sell,495.3555908203125
2016-05-16,NESTLEIND.NS,Buy,566.5980834960938
2016-05-16,KOTAKBANK.NS,Sell,715.2096557617188
2016-06-06,BAJAJFINSV.NS,Buy,186.09146118164065
2016-06-06,BAJFINANCE.NS,Sell,763.0475463867188
2016-07-07,HDFCBANK.NS,Buy,557.0451049804688
2016-07-07,ULTRACEMCO.NS,Sell,3295.591552734375
2016-07-08,INDUSINDBK.NS,Buy,1081.741943359375
2016-07-08,ITC.NS,Sell,194.1129150390625
