Date,Close Price,Trading Signal
2021-07-06,1947.9306640625,-1.0
2021-07-07,1934.408447265625,-1.0
2021-07-08,1918.4110107421875,-1.0
2021-07-09,1898.7923583984375,-1.0
2021-07-12,1910.61865234375,-1.0
2021-07-13,1924.9200439453125,-1.0
2021-07-14,1912.3603515625,-1.0
2021-07-15,1909.0142822265625,1.0
2021-07-16,1936.5628662109375,-1.0
2021-07-19,1924.232421875,-1.0
2021-07-20,1919.510986328125,-1.0
2021-07-22,1944.171875,-1.0
2021-07-23,1930.420654296875,-1.0
2021-07-26,1903.9720458984375,-1.0
2021-07-27,1883.9407958984375,1.0
2021-07-28,1867.7601318359375,1.0
2021-07-29,1882.3365478515625,1.0
2021-07-30,1865.8807373046875,1.0
2021-08-02,1899.984130859375,-1.0
2021-08-03,1913.9647216796875,-1.0
2021-08-04,1928.6329345703125,-1.0
2021-08-05,1956.5941162109375,-1.0
2021-08-06,1915.1566162109375,-1.0
2021-08-09,1904.2469482421875,1.0
2021-08-10,1914.23974609375,1.0
2021-08-11,1941.054931640625,-1.0
2021-08-12,1934.821044921875,-1.0
2021-08-13,1967.0450439453125,-1.0
2021-08-16,1992.5767822265625,-1.0
2021-08-17,1984.0968017578125,-1.0
2021-08-18,1991.797607421875,-1.0
2021-08-20,1969.4287109375,1.0
2021-08-23,1982.3551025390625,1.0
2021-08-24,2001.9278564453125,1.0
2021-08-25,2019.2545166015625,1.0
2021-08-26,2044.786376953125,-1.0
2021-08-27,2041.9901123046875,-1.0
2021-08-30,2081.273193359375,1.0
2021-08-31,2070.1806640625,-1.0
2021-09-01,2078.385498046875,1.0
2021-09-02,2103.4130859375,-1.0
2021-09-03,2189.68017578125,-1.0
2021-09-06,2223.692138671875,-1.0
2021-09-07,2237.718505859375,-1.0
2021-09-08,2228.96337890625,-1.0
2021-09-09,2223.692138671875,-1.0
2021-09-13,2174.14111328125,-1.0
2021-09-14,2171.299072265625,1.0
2021-09-15,2180.329345703125,1.0
2021-09-16,2226.075439453125,-1.0
2021-09-17,2191.559326171875,-1.0
2021-09-20,2195.04345703125,-1.0
2021-09-21,2204.53173828125,-1.0
2021-09-22,2228.18408203125,-1.0
2021-09-23,2282.6396484375,-1.0
2021-09-24,2276.038818359375,-1.0
2021-09-27,2314.313720703125,-1.0
2021-09-28,2335.94921875,-1.0
2021-09-29,2317.4306640625,-1.0
2021-09-30,2309.54638671875,-1.0
2021-10-01,2313.6259765625,-1.0
2021-10-04,2343.375,-1.0
2021-10-05,2392.009033203125,-1.0
2021-10-06,2346.766845703125,-1.0
2021-10-07,2358.272216796875,-1.0
2021-10-08,2448.89404296875,-1.0
2021-10-11,2431.842041015625,-1.0
2021-10-12,2445.731201171875,-1.0
2021-10-13,2470.62109375,-1.0
2021-10-14,2475.617431640625,-1.0
2021-10-18,2482.21826171875,-1.0
2021-10-19,2504.449462890625,-1.0
2021-10-20,2475.617431640625,-1.0
2021-10-21,2404.201904296875,-1.0
2021-10-22,2408.694091796875,1.0
2021-10-25,2385.224853515625,1.0
2021-10-26,2439.542724609375,1.0
2021-10-27,2408.694091796875,-1.0
2021-10-28,2382.291015625,-1.0
2021-10-29,2325.13134765625,-1.0
2021-11-01,2326.552490234375,1.0
2021-11-02,2292.63232421875,1.0
2021-11-03,2276.864013671875,1.0
2021-11-04,2290.8447265625,1.0
2021-11-08,2293.686767578125,-1.0
2021-11-09,2311.792724609375,-1.0
2021-11-10,2337.64501953125,-1.0
2021-11-11,2341.908203125,-1.0
2021-11-12,2377.249267578125,-1.0
2021-11-15,2363.22265625,-1.0
2021-11-16,2308.308837890625,-1.0
2021-11-17,2258.895751953125,1.0
2021-11-18,2267.42138671875,1.0
2021-11-22,2166.990478515625,-1.0
2021-11-23,2187.250732421875,1.0
2021-11-24,2155.66845703125,1.0
2021-11-25,2285.435546875,1.0
2021-11-26,2211.774169921875,-1.0
2021-11-29,2238.268310546875,1.0
2021-11-30,2205.173095703125,-1.0
2021-12-01,2261.64599609375,1.0
2021-12-02,2276.176513671875,-1.0
2021-12-03,2207.786376953125,-1.0
2021-12-06,2165.93603515625,1.0
2021-12-07,2183.583740234375,1.0
2021-12-08,2216.816162109375,-1.0
2021-12-09,2251.973876953125,-1.0
2021-12-10,2254.265869140625,-1.0
2021-12-13,2209.069580078125,-1.0
2021-12-14,2182.025146484375,-1.0
2021-12-15,2175.65380859375,1.0
2021-12-16,2203.798095703125,1.0
2021-12-17,2145.6298828125,-1.0
2021-12-20,2087.782470703125,1.0
2021-12-21,2118.8603515625,1.0
2021-12-22,2169.14453125,1.0
2021-12-23,2168.365478515625,-1.0
2021-12-24,2175.287109375,-1.0
2021-12-27,2172.94921875,-1.0
2021-12-28,2198.756103515625,1.0
2021-12-29,2202.514892578125,-1.0
2021-12-30,2162.7275390625,-1.0
2021-12-31,2171.024169921875,1.0
2022-01-03,2203.752197265625,1.0
2022-01-04,2253.486572265625,-1.0
2022-01-05,2264.029296875,-1.0
2022-01-06,2215.349365234375,-1.0
2022-01-07,2233.226318359375,-1.0
2022-01-10,2235.059814453125,-1.0
2022-01-11,2251.14892578125,-1.0
2022-01-12,2311.242431640625,-1.0
2022-01-13,2324.260498046875,-1.0
2022-01-14,2327.652587890625,-1.0
2022-01-17,2339.79931640625,-1.0
2022-01-18,2311.884033203125,-1.0
2022-01-19,2311.700927734375,-1.0
2022-01-20,2271.22607421875,-1.0
2022-01-21,2271.592529296875,-1.0
2022-01-24,2179.96240234375,-1.0
2022-01-25,2175.699462890625,1.0
2022-01-27,2143.475341796875,-1.0
2022-01-28,2141.412841796875,1.0
2022-01-31,2187.9384765625,-1.0
2022-02-01,2180.696044921875,-1.0
2022-02-02,2185.14208984375,-1.0
2022-02-03,2156.906005859375,-1.0
2022-02-04,2137.241455078125,-1.0
2022-02-07,2124.2236328125,1.0
2022-02-08,2159.93115234375,1.0
2022-02-09,2185.096435546875,-1.0
2022-02-10,2182.8505859375,-1.0
2022-02-11,2178.58740234375,-1.0
2022-02-14,2143.88818359375,-1.0
2022-02-15,2216.6787109375,1.0
2022-02-16,2212.094970703125,-1.0
2022-02-17,2240.101806640625,-1.0
2022-02-18,2222.592041015625,-1.0
2022-02-21,2200.13134765625,-1.0
2022-02-22,2190.138427734375,1.0
2022-02-23,2176.43310546875,-1.0
2022-02-24,2067.980224609375,1.0
2022-02-25,2093.8330078125,1.0
2022-02-28,2163.139892578125,1.0
2022-03-02,2198.8935546875,-1.0
2022-03-03,2180.329345703125,-1.0
2022-03-04,2131.97021484375,-1.0
2022-03-07,2053.12890625,1.0
2022-03-08,2049.415771484375,1.0
2022-03-09,2158.1435546875,1.0
2022-03-10,2193.117919921875,-1.0
2022-03-11,2199.443603515625,-1.0
2022-03-14,2217.503662109375,-1.0
2022-03-15,2166.71533203125,-1.0
2022-03-16,2203.294189453125,1.0
2022-03-17,2275.122314453125,1.0
2022-03-21,2262.012451171875,-1.0
2022-03-22,2320.4560546875,-1.0
2022-03-23,2327.835693359375,-1.0
2022-03-24,2364.001953125,-1.0
2022-03-25,2379.770263671875,-1.0
2022-03-28,2403.69775390625,-1.0
2022-03-29,2404.247802734375,-1.0
2022-03-30,2450.45263671875,-1.0
2022-03-31,2415.43212890625,-1.0
2022-04-01,2434.77587890625,-1.0
2022-04-04,2441.972412109375,1.0
2022-04-05,2407.456298828125,1.0
2022-04-06,2401.0390625,1.0
2022-04-07,2358.684814453125,1.0
2022-04-08,2397.92236328125,1.0
2022-04-11,2392.92578125,-1.0
2022-04-12,2347.866943359375,1.0
2022-04-13,2339.24951171875,1.0
2022-04-18,2332.0986328125,-1.0
2022-04-19,2420.978515625,-1.0
2022-04-20,2492.164794921875,-1.0
2022-04-21,2550.5166015625,-1.0
2022-04-22,2529.15625,-1.0
2022-04-25,2470.6669921875,-1.0
2022-04-26,2544.603515625,-1.0
2022-04-27,2547.078857421875,-1.0
2022-04-28,2585.12451171875,-1.0
2022-04-29,2557.98828125,-1.0
2022-05-02,2549.00390625,-1.0
2022-05-04,2469.42919921875,-1.0
2022-05-05,2421.070068359375,1.0
2022-05-06,2402.505859375,1.0
2022-05-09,2308.675537109375,1.0
2022-05-10,2268.658935546875,1.0
2022-05-11,2245.419189453125,1.0
2022-05-12,2199.6728515625,1.0
2022-05-13,2224.608642578125,1.0
2022-05-16,2225.15869140625,1.0
2022-05-17,2318.622314453125,-1.0
2022-05-18,2327.056640625,-1.0
2022-05-19,2273.426025390625,-1.0
2022-05-20,2405.989501953125,-1.0
2022-05-23,2389.900634765625,-1.0
2022-05-24,2398.10546875,-1.0
2022-05-25,2394.575927734375,-1.0
2022-05-26,2371.74853515625,-1.0
2022-05-27,2360.747314453125,-1.0
2022-05-30,2442.980712890625,-1.0
2022-05-31,2413.5068359375,-1.0
2022-06-01,2414.286376953125,-1.0
2022-06-02,2497.528076171875,-1.0
2022-06-03,2548.133056640625,-1.0
2022-06-06,2537.177734375,-1.0
2022-06-07,2541.945068359375,-1.0
2022-06-08,2497.298828125,-1.0
2022-06-09,2565.78076171875,-1.0
2022-06-10,2488.314697265625,-1.0
2022-06-13,2441.239013671875,1.0
2022-06-14,2409.335693359375,1.0
2022-06-15,2380.182861328125,1.0
2022-06-16,2346.904296875,1.0
2022-06-17,2374.4072265625,1.0
2022-06-20,2331.365478515625,-1.0
2022-06-21,2368.998291015625,1.0
2022-06-22,2297.03271484375,1.0
2022-06-23,2259.766357421875,1.0
2022-06-24,2291.94482421875,1.0
2022-06-27,2285.16064453125,1.0
2022-06-28,2317.29296875,1.0
2022-06-29,2365.376953125,1.0
2022-06-30,2379.587158203125,-1.0
2022-07-01,2208.19873046875,-1.0
2022-07-04,2212.782470703125,1.0
2022-07-05,2230.705078125,1.0
2022-07-06,2211.08642578125,1.0
2022-07-07,2189.3134765625,1.0
2022-07-08,2192.3388671875,1.0
2022-07-11,2222.133544921875,-1.0
2022-07-12,2218.970458984375,-1.0
2022-07-13,2179.6416015625,-1.0
2022-07-14,2197.610107421875,-1.0
2022-07-15,2201.873046875,-1.0
2022-07-18,2220.620849609375,-1.0
2022-07-19,2234.23486328125,-1.0
2022-07-20,2294.649169921875,-1.0
2022-07-21,2279.339111328125,-1.0
2022-07-22,2294.74072265625,-1.0
2022-07-25,2218.9248046875,-1.0
2022-07-26,2219.93310546875,1.0
2022-07-27,2217.82470703125,-1.0
2022-07-28,2252.56982421875,1.0
2022-07-29,2300.562255859375,-1.0
2022-08-01,2360.51806640625,-1.0
2022-08-02,2369.50244140625,-1.0
2022-08-03,2389.39599609375,-1.0
2022-08-04,2357.81396484375,-1.0
2022-08-05,2323.068603515625,-1.0
2022-08-08,2353.459228515625,1.0
2022-08-10,2367.53173828125,-1.0
2022-08-11,2375.41552734375,-1.0
2022-08-12,2413.827880859375,-1.0
2022-08-16,2430.6044921875,-1.0
2022-08-17,2443.3017578125,-1.0
2022-08-18,2447.732666015625,-1.0
2022-08-19,2404.09033203125,-1.0
2022-08-22,2397.422119140625,-1.0
2022-08-23,2434.396240234375,1.0
2022-08-24,2427.911865234375,1.0
2022-08-25,2420.829833984375,1.0
2022-08-26,2407.9072265625,1.0
2022-08-29,2389.1904296875,1.0
2022-08-30,2426.25634765625,1.0
2022-09-01,2354.9296875,-1.0
2022-09-02,2327.42919921875,1.0
2022-09-05,2363.575439453125,1.0
2022-09-06,2388.45458984375,-1.0
2022-09-07,2374.56640625,-1.0
2022-09-08,2377.92333984375,-1.0
2022-09-09,2363.115478515625,-1.0
2022-09-12,2389.558349609375,-1.0
2022-09-13,2409.516845703125,-1.0
2022-09-14,2380.63671875,-1.0
2022-09-15,2357.045166015625,-1.0
2022-09-16,2298.640869140625,-1.0
2022-09-19,2301.630126953125,1.0
2022-09-20,2301.998046875,1.0
2022-09-21,2308.344482421875,-1.0
2022-09-22,2286.59228515625,-1.0
2022-09-23,2243.73193359375,-1.0
2022-09-26,2186.5693359375,1.0
2022-09-27,2203.95263671875,1.0
2022-09-28,2145.2724609375,1.0
2022-09-29,2138.6962890625,1.0
2022-09-30,2186.937255859375,1.0
2022-10-03,2179.349365234375,-1.0
2022-10-04,2219.54248046875,1.0
2022-10-06,2227.72802734375,-1.0
2022-10-07,2237.15576171875,-1.0
2022-10-10,2212.736328125,-1.0
2022-10-11,2168.68017578125,1.0
2022-10-12,2184.637939453125,1.0
2022-10-13,2191.58203125,1.0
2022-10-14,2180.452880859375,1.0
2022-10-17,2215.449462890625,1.0
